Opening,Opening.1,Title,Director,Cast,Studio,Ref
J A N,5.0,13 December,Buvanesh,"Mukesh, Khushi Gadhvi, Brahmini Murala",Mukesh Films,
J A N,5.0,Onaaigal Jakkiradhai,JPR,"Kabali Vishwanth, Riythvika, Baby Amrutha",S Bioscope Productions,
J A N,5.0,Paarka Thonuthe,Jai Senthilkumar,"Arsha, Sarah, Amar, Fathima",Vasavi Films,
J A N,5.0,Saavi,R. Subramanian,"Prakash Chandra, Sunu Lakshmi, Uday Mahesh",The Sparkland,
J A N,5.0,Vidhi Madhi Ultaa,S. Vijai Balaji,"Rameez Raja, Janani Iyer, Daniel Balaji, Karunakaran",Rite Media Works,[14]
J A N,12.0,Gulaebaghavali,Kalyaan,"Prabhu Deva, Hansika Motwani, Revathi",KJR Studios,[15]
J A N,12.0,Sketch,Vijay Chandar,"Vikram, Tamannaah, Soori",Moving Frame,[16]
J A N,12.0,Thaanaa Serndha Koottam,Vignesh Shivan,"Suriya, Keerthy Suresh, Karthik, Ramya Krishnan",Studio Green,[17]
J A N,19.0,Samuga Valaithalam,Easan,"Badri, Priya, Padma, Bala Singh, Suruli Manohar",Victory Films,
J A N,19.0,Veera Thevan,Veeran Selvarasu,"Kaushik, Meenalotchani, Karate Gopalan",GS Movies,
J A N,26.0,Bhaagamathie,G. Ashok,"Anushka Shetty, Unni Mukundan, Jayaram","Studio Green, UV Creations",[18]
J A N,26.0,Mannar Vagaiyara,Boopathy Pandian,"Vemal, Anandhi, Prabhu, Karthik Kumar",A3V Cinemaz,[19]
J A N,26.0,Nimir,Priyadarshan,"Udhayanidhi Stalin, Namitha Pramod, Parvatii Nair",Moonshot Entertainment,[20]
J A N,26.0,Saranalayam,Rasu Jeganathan,"Ashwin Kumar, Sri Priyanka, Singampuli",Go Production,
F E B,2.0,Madura Veeran,P. G. Muthiah,"Shanmugapandian, Meenakshi, Samuthirakani","P. G. Media Works, V Studios",[21]
F E B,2.0,Oru Nalla Naal Paathu Solren,P. Arumugakumar,"Vijay Sethupathi, Gautham Karthik, Niharika Konidela, Gayathrie","7C's Entertainment, Amme Narayana Entertainment",[22]
F E B,2.0,Padaiveeran,Dhana,"Vijay Yesudas, Amritha Aiyer, Akhil, Bharathiraja",Evoke,[23]
F E B,2.0,Visiri,Vetri Mahalingam,"Ram Saravanannn, Raaj Suriya, Ramona Stephani",Mahalingam Productions,
F E B,2.0,Yemaali,V. Z. Durai,"Samuthirakani, Sam Jones, Athulya Ravi",Latha Productions,[24]
F E B,9.0,Kalakalappu 2,Sundar C.,"Jiiva, Jai, Shiva, Nikki Galrani, Catherine Tresa",Avni Cinemax,[25]
F E B,9.0,Nari Vettai,Akash Sudhakar,"Akash Sudhakar, Mahalakshmi, King Kong",Channel Akash Studio,
F E B,9.0,Savarakathi,G. R. Adithya,"Ram, Mysskin, Poorna",Lonewolf Productions,[26]
F E B,9.0,Sollividava,Arjun,"Chandan Kumar, Aishwarya Arjun",Sree Raam Films International,[27]
F E B,16.0,Manushanaa Nee,Ghazali,"Saleem, Anu Krishna, Subbu Panchu",H3 Cinemas,
F E B,16.0,Melnaattu Marumagan,MSS,"Rajkamal, Andreanne Nouyrigat",Udhaya Creations,[28]
F E B,16.0,Naachiyaar,Bala,"Jyothika, G. V. Prakash Kumar, Ivana",B Studios,[29]
F E B,16.0,Nagesh Thiraiyarangam,Isaq,"Aari, Ashna Zaveri, Kaali Venkat",Transindia Media and Entertainment,[30]
F E B,16.0,Veera,Rajaraman,"Kreshna, Iswarya Menon, Karunakaran",RS Infotainment,[31]
F E B,22.0,Koottali,S. K. Mathi,"Sathish, Krisha Kurup, Kausalya, Kalyan",SP Pixels,
F E B,23.0,6 Athiyayam,Six directors,"Thaman Kumar, Sanjeev, Vinoth Kishan, Kishore",ASCII Media Hut,
F E B,23.0,Kaathadi,Kalyaan,"Avishek Karthik, Sai Dhanshika, Daniel Annie Pope",Galaxy Pictures,
F E B,23.0,Keni,M. A. Nishad,"Jaya Prada, Revathi, Parthiban, Anu Hasan, Nassar",Fragrant Nature Film Creations,
F E B,23.0,Merlin,Keera,"Vishnu Priyan, Ashwini Chandrashekar, Lollu Sabha Jeeva",JSB Film Studios,
F E B,23.0,Tamizhananean Ka,Sathish,"Sathish, Vandana Varadarajan, Preetha",Vetritamil Vuruvakkam,
F E B,23.0,Yenda Thalaiyila Yenna Vekkala,Vignesh Karthick,"Azhar, Sanchita Shetty, Eden Kuriakose",Yogi and Partners,
M A R,2.0,Dharavi,Pavithran,"Satheesh, Balu, Sunu Lakshmi, Prabu Sathish",ARS International,
A P R,20.0,Mercury,Karthik Subbaraj,"Prabhu Deva, Remya Nambeesan, Sananth, Indhuja",Stone Bench Creations,[32]
A P R,20.0,Munthal,Stunt Jayanth,"Appu Krishna, Muksha, Rajendran, Nizhalgal Ravi",Harvest Moon Pictures,
A P R,27.0,Diya,A. L. Vijay,"Sai Pallavi, Naga Shaurya, Veronika Arora",Lyca Productions,[33]
A P R,27.0,Paadam,Rajashekar,"Karthik, Vijith, Mona, Yashika Aannand",Rollon Movies,
A P R,27.0,Pakka,S. S. Surya,"Vikram Prabhu, Nikki Galrani, Bindu Madhavi",Benn Consortium Studios,[34]
M A Y,1.0,Sila Samayangalil,Priyadarshan,"Prakash Raj, Sriya Reddy, Ashok Selvan, Varun","Prabhu Deva Studios, Think Big Studios",
M A Y,4.0,Alai Pesi,Murali Bharathi,"Akhil, Anu Krishnanouu, Singampuli",Vijayalakshmi Creations,
M A Y,4.0,Iruttu Araiyil Murattu Kuththu,Santhosh P. Jayakumar,"Gautham Karthik, Vaibhavi Shandilya, Sha Ra, Yashika Aannand, Chandrika Ravi",Blue Ghost Pictures,[35]
M A Y,4.0,Kaathiruppor Pattiyal,Balayya D. Rajasekhar,"Sachin, Nandita Swetha, Rajendran",Lady Dream Cinemas,[36]
M A Y,11.0,Iravukku Aayiram Kangal,Mu. Maran,"Arulnithi, Ajmal, Mahima Nambiar, Vidya Pradeep",Axess Film Factory,[37]
M A Y,11.0,Aaru Mudhal Aaru (Oru Iravu),M. G. Reddy,"Manjunath, Jayadeva",Sri Lakshmi MGR Movies,[38]
M A Y,11.0,Irumbu Thirai,P. S. Mithran,"Vishal, Samantha, Arjun",Vishal Film Factory,[39]
M A Y,16.0,Amutha,P.S. Arjun,"Sriya Sree, Anees Shaz",,
M A Y,17.0,Bhaskar Oru Rascal,Siddique,"Arvind Swami, Amala Paul, Nikesha Patel, Aftab Shivdasani",Harshini Movies,[40]
M A Y,18.0,18.05.2009,Kuppan Ganeshan,"Subash Chandra Bose, Dhanya",SSK Creations,
M A Y,18.0,Kaali,Kiruthiga Udhayanidhi,"Vijay Antony, Anjali, Sunaina, Amritha Aiyer, Shilpa Manjunath",Vijay Antony Film Corporation,[41]
M A Y,18.0,Kadhalargal Valibar Sangam,Kasi Vishwanathan,"Sathya, Thamarai, Kovai Senthil",Vishnu Movie Makers,
M A Y,18.0,Paalkaari,Om Pulli Jeevarathinam,"Minu Kurian, Shivani Grover",Raghul Varma J Movies,
M A Y,18.0,Seyal,Ravi Abbulu,"Rajan Tejeshwar, Tharushi, Ramdoss, Renuka",C. R. Creations,[42]
M A Y,25.0,Abhiyum Anuvum,B. R. Vijayalakshmi,"Tovino Thomas, Piaa Bajpai, Prabhu, Suhasini",Yoodlee Films,[43]
M A Y,25.0,Oru Kuppai Kathai,Kaali Rangasamy,"Dinesh Kumar, Manisha Yadav, Sujo Mathew, Yogi Babu",Film Box Productions,[44]
M A Y,25.0,Kaala Koothu,M. Nagarajan,"Prasanna, Kalaiyarasan, Sai Dhanshika, Srushti Dange",Madurai Sri Kallazhagar Entertainment,[45]
M A Y,25.0,Pei Irukka Illaya,Pa. Ranjithkumar,"Vijayakumar, Livingston, Madhumitha",Team Work Talkies,
M A Y,25.0,Puthiya Bruce Lee,Mulaiyur A. Sonai,"Bruce, Raziya, Ashwanth Thilak",Sree Dindigul Venkateshvaraa Pictures,
M A Y,25.0,Semma,Vallikanth,"G. V. Prakash Kumar, Arthana Binu, Yogi Babu","Linga Bhairavi Creations, Pasanga Creations",[46]
J U N,1.0,Antony,Kutti Kumar,"Nishanth, Vaishali, Lal",Adithya Entertainment,[47]
J U N,1.0,Mohana,Ra. Anand,"Rajendran, Power Star Srinivasan, Kalyani Nair, Asmitha",Mooraa Pictures,[48]
J U N,1.0,Panjumittai,S. P. Mohan,"Ma Ka Pa Anand, Nikhila Vimal, Pandiarajan",Deepam Cinema,[49]
J U N,1.0,Vayakattu Mappillai,Vimal Murugan,"Vetrivel, Yogendra, Jothisha, Dayana",Jeeva Movie Makers,
J U N,1.0,X Videos,Sajo Sundar,"Ajay Raj, Akruti Singh, Abhinav",Colour Shadows Entertainment,[50]
J U N,7.0,Kaala,Pa. Ranjith,"Rajinikanth, Huma Qureshi, Samuthirakani, Nana Patekar",Wunderbar Films,[51]
J U N,14.0,Goli Soda 2,Vijay Milton,"Samuthirakani, Chemban Vinod Jose, Rohini, Gautham Vasudev Menon",Rough Note Productions,[52]
J U N,15.0,Ennodu Nee Irundhaal,M. Sathyamoorthy,"Sathya, Manasa Nair, Rohini, Ajay Rathnam",Sayto Film Corporation,[53]
J U N,15.0,Kannakkol,V. A. Kumaresan,"Bharani, Karunya Ram, Ganja Karuppu",Ram Pictures,
J U N,15.0,Kilambitaangayaa Kilambitaangayaa,Razak,"K. Bhagyaraj, Mansoor Ali Khan, R. Sundarrajan",Heaven Entertainment,[54]
J U N,22.0,Andhra Mess,Jai,"Raj Bharath, Tejaswini, AP Shreethar, Pooja Devariya",Showboat Studios,[55]
J U N,22.0,Enna Thavam Seitheno,Murabasalam,"Ghajini, Vishnupriya, Srinivasan, Mayilsamy",Inaindha Kaigal Kalaikoodam,
J U N,22.0,Kargil,Sivaani Senthil,"Jishnu Menon, Prerna Sadani",Banner Sivani Studios,[56]
J U N,22.0,Tik Tik Tik,Shakti Soundar Rajan,"Jayam Ravi, Aaron Aziz, Nivetha Pethuraj, Ramesh Thilak",Thenandal Studio Limited,[57]
J U N,22.0,Traffic Ramasamy,Vicky,"S. A. Chandrasekhar, R. K. Suresh, Prakash Raj",Green Signal,[58]
J U N,29.0,Asuravadham,Maruthupandian,"M. Sasikumar, Nandita Swetha, Sheela Rajkumar",Seven Screen Studios,[59]
