Opening,Opening.1,Title,Director,Cast,Studio,Ref
J A N,3.0,Anantha Veedu,Sugumaran,"Sugumaran, Shivayam, Nagarajan",Nila Movie Makers,
J A N,3.0,Ayya Ullen Ayya,Erode Soundar,"Kabilesh, Prarthana Sandeep, Livingston, Manobala",Veera Sri Santhana Karuparayan,
J A N,3.0,En Sangathu Aala Adichavan Evanada,Naveen Manikandan,"Vikkas, Madhumitha, Ramar, Udayabhanu",SH Media Dreams,[3]
J A N,3.0,Kadhal Vizhigal,Sri Sumathy,"Jayabalan, Sri Sumathy",Sri Sumathy,
J A N,3.0,Pachai Vilakku,Maran,"Maran, Theesha, Imman Annachi, Manobala",Digithink Mediawork,[4]
J A N,3.0,Pizhai,Rajavel Krishnaa,"Kakka Muttai Ramesh, Appa Nasath, Mime Gopi, Charle",Turning Point Productions,[5]
J A N,3.0,Thedu,Suci Easwar,"Sanjay, Meghana, Sivakasi Murgesan, Kamaraj",Kishore Cine Arts,[6]
J A N,3.0,Thottu Vidum Thooram,V. P. Nageswaran,"Vivek Raj, Monica Chinnakotla, Livingston, Seetha",Usha Cine Creations,[7]
J A N,9.0,Darbar,AR Murugadoss,"Rajinikanth, Nayanthara, Nivetha Thomas, Suniel Shetty",Lyca Productions,[8]
J A N,15.0,Pattas,R. S. Durai Senthilkumar,"Dhanush, Sneha, Mehreen Pirzada, Naveen Chandra",Sathya Jyothi Films,[9]
J A N,24.0,Psycho,Mysskin,"Udhayanidhi Stalin, Aditi Rao Hydari, Nithya Menen",Double Meaning Production,[10]
J A N,24.0,Rajavukku Check,Sai Rajkumar,"Cheran, Srushti Dange, Sarayu Mohan, Nandana Varma",Pallatte Kokkatt Film House,[11]
J A N,24.0,Taana,Yuvaraj Subramani,"Vaibhav, Nandita Swetha, Yogi Babu",Nobel Movies Production,[12]
J A N,31.0,Dagaalty,Vijay Anand,"Santhanam, Rittika Sen, Yogi Babu",Hand Made Films,[13]
J A N,31.0,Maayanadhi,Ashok Thiagarajan,"Abi Saravanan, Venba, Aadukalam Naren",Raji Nila Mukil Films,[14]
J A N,31.0,Utraan,O. Rajagajini,"Roshan Udayakumar, Heroshini Komali, Priyanka Nair",Sat Cinemas,[15]
J A N,31.0,Vanmurai,Manjith Divakar,"R. K. Suresh, Vinoth Kishan, Charmila, Vigil Varhese",Arya Aadhi International Movies,[16]
F E B,1.0,Naadodigal 2,Samuthirakani,"Sasikumar, Anjali, Athulya Ravi",Madras Enterprises,[17]
F E B,7.0,Adavi,G. Ramesh,"Vinoth Kishan, Ammu Abirami, Attapadi Radhakrishnan",Shri Krish Pictures,[18]
F E B,7.0,Pulikodi Devan,S. P. Raaj Prabhu,"V. Krishnaswamy, Amala Maria",Chozha Nadu Talkies,[19]
F E B,7.0,Sandimuni,Milka S. Selvakumar,"Natty, Manisha Yadav, Yogi Babu",Sivam Media Works,[20]
F E B,7.0,Seeru,Rathina Siva,"Jiiva, Riya Suman, Gayathri Krishnaa, Navdeep",Vels Film International,[21]
F E B,7.0,Vaanam Kottattum,Dhana,"Sarathkumar, Radhika, Vikram Prabhu, Aishwarya Rajesh",Madras Talkies,[22]
F E B,14.0,Day Knight,N. K. Kandi,"Aadarsh, Finny Mathew, Vipin Thomas",Futurz International,[23]
F E B,14.0,Naan Sirithaal,Raana,"Hiphop Tamizha, Iswarya Menon",Avni Movies,[24]
F E B,14.0,Oh My Kadavule,Ashwath Marimuthu,"Ashok Selvan, Ritika Singh, Vani Bhojan",Axess Film Factory,[25]
F E B,21.0,Baaram,Priya Krishnaswamy,"Raju, Stella Gobi",Reckless Roses,[26]
