Opening,Opening.1,Title,Director,Cast,Studio,Ref
F E B,21.0,God Father,Jegan Rajshekar,"Natty, Lal, Ananya",GS Arts,[27]
F E B,21.0,Kutty Devathai,K. Alexander,"Chozhavendhan, Teja Reddy, Vela Ramamoorthy",Jai Shakthi Movies,[28]
F E B,21.0,Kanni Maadam,Bose Venkat,"Sriram Karthick, Saya Devi, Murugadoss, Mime Gopi",MSM Movie Traders,[29]
F E B,21.0,Mafia: Chapter 1,Karthick Naren,"Arun Vijay, Priya Bhavani Shankar, Prasanna",Lyca Productions,[30]
F E B,21.0,Meendum Oru Mariyathai,Bharathiraja,"Bharathiraja, Nakshatra",Manoj Creations,[31]
F E B,28.0,Draupathi,Mohan G,"Richard Rishi, Sheela Rajkumar, Karunas",GM Film Corporation,[32]
F E B,28.0,Galtha,S. Hari Uthraa,"Antony Sagayaraj, Siva Nishanth, Ayraa Jain, Appukutty",Malar Movie Makers,[33]
F E B,28.0,Irumbu Manithan,Disney,"Santhosh Prathap, Archana, Ganja Karuppu",Shankar Movies International,[34]
F E B,28.0,Kadalil Kattumaramai,Yuvraj Munish,"Rakshan, Rithika, Elaya, Latha Sai",SB Shoba Movies,[35]
F E B,28.0,Kannum Kannum Kollaiyadithaal,Desingh Periyasamy,"Dulquer Salmaan, Ritu Varma, Rakshan, Niranjani",Anto Joseph Film Company,[36]
M A R,6.0,College Kumar,Hari Santhosh,"Prabhu, Rahul Vijay, Priya Vadlamani, Madhoo",M. R. Pictures,[37]
M A R,6.0,Ettuthikkum Para,Keera,"Samuthirakani, Chandini Tamilarasan, Nitish Veera",Varnalaya Cine Creations,[38]
M A R,6.0,Gypsy,Raju Murugan,"Jiiva, Natasha Singh, Sunny Wayne",Olympia Movies,[39]
M A R,6.0,Indha Nilai Maarum,Arunkanth,"Ramkumar, Ashwin Kumar Lakshmikanthan, Nivedhithaa Sathish",Panthalam Cinemas,[40]
M A R,6.0,Velvet Nagaram,Manojkumar Natarajan,"Varalaxmi Sarathkumar, Ramesh Thilak",Makers Studios,[41]
M A R,13.0,Alti,M. J. Hussain,"Anbhu Mayilsami, Manishajith, Sendrayan",NSR Film Factory,[42]
M A R,13.0,Asuraguru,A. Rajdeep,"Vikram Prabhu, Mahima Nambiar",JSB Film Studios,[43]
M A R,13.0,Dharala Prabhu,Krishna Marimuthu,"Harish Kalyan, Tanya Hope, Vivek",Screen Scene Media Entertainment,[44]
M A R,13.0,Kayiru,Ganesh,"S. R. Gunaa, Kavya Madhav, Cheranraj",Skyway Pictures,[45]
M A R,13.0,Thanchamada Nee Yenakku,M. Charle,"Dileep Poonthura, Binees Baskar, Tiger Khan",RM Real Media,
M A R,13.0,Walter,U. Anbarasan,"Sibiraj, Shirin Kanchwala, Samuthirakani",11:11 Productions (P) Ltd,[46]
A P R,1.0,Sethum Aayiram Pon,Anand Ravichandran,"Srilekha Rajendran, Nivedhithaa Sathish, Avinash Raghudevan",Wishberry Films,[47]
M A Y,29.0,Ponmagal Vandhal,J. J. Frederick,"Jyothika, Parthiban, K. Bhagyaraj","2D Entertainment, Amazon Prime Video",[48]
M A Y,30.0,Mamakiki,Five directors[n 1],"Preetha Anandan, Ramesh Thilak, Dev","Super Talkies, ZEE5",[49]
J U N,19.0,Penguin,Eashvar Karthic,"Keerthy Suresh, Linga, Madhampatty Rangaraj","Stone Bench Films, Passion Studios, Amazon Prime Video",[50]
J U N,19.0,Yaadhumagi Nindraai,Gayathri Raguram,"Gayathri Raguram, Nivas Adithan, Sindhu Krishnan","Suja Movies, ZEE5",[51]
J U L,10.0,Cocktail,Vijaya Murugan,"Yogi Babu, Rashmi Gopinath, Mithun Maheswaran, KPY Bala","PG Mediaworks, ZEE5",[52]
J U L,31.0,Hawala,Ammith Rao,"Srinivas, Ammith Rao, Amulya, Nizhalgal Ravi",Apples and Pears Filmy Mystics,[53]
A U G,1.0,Danny,L. C. Santhanamoorthy,"Varalaxmi Sarathkumar, Vela Ramamoorthy",PG Mediaworks,[54]
A U G,14.0,Lock Up,S. G. Charles,"Vaibhav, Venkat Prabhu, Vani Bhojan",Shvedh Group,[55]
A U G,15.0,Onbathu Kuzhi Sampath,J. A. Ragupathi,"Balaji Maharaja, Nikhila Vimal, Appukutty",80-20 Pictures,[56]
S E P,6.0,Madham,Rajni,"Vijayshankar, Swathishta Krishnan, John, Dinakaran",Kalikambal Films,
O C T,2.0,Ka Pae Ranasingam,P. Virumaandi,"Vijay Sethupathi, Aishwarya Rajesh, Bhavani Sre",KJR Studios,[57]
O C T,2.0,Silence,Hemant Madhukar,"Madhavan, Anushka Shetty, Michael Madsen, Anjali","People Media Factory, Kona Film Corporation",[58]
O C T,6.0,Varmaa,Bala,"Dhruv Vikram, Megha Chowdhury, Raiza Wilson",E4 Entertainment,[59]
O C T,16.0,Putham Pudhu Kaalai,Five directors[n 2],"Jayaram, Ritu Varma, Shruti Haasan, Andrea Jeremiah, Bobby Simha",Amazon Prime Video,[60]
O C T,27.0,Patra Vaitha Nerupondru,Vinoth Rajendran,"Dinesh Sadasivam, Smruthi Venkat, Ranjith",Iruvar Film Factory,[61]
O C T,30.0,Nungambakkam,Ramesh Selvan,"Ajmal, Mano, Ayra, A. Venkatesh",Dream World Cinemas,[62]
N O V,12.0,Soorarai Pottru,Sudha Kongara,"Suriya, Paresh Rawal, Aparna Balamurali, Urvashi, Mohan Babu","2D Entertainment, Amazon Prime Video",[63]
N O V,14.0,Biskoth,R. Kannan,"Santhanam, Tara Alisha Berry, Sowcar Janaki",Masala Pix,[64]
N O V,14.0,Irandam Kuththu,Santhosh P. Jayakumar,"Santhosh P. Jayakumar, Akrithi Singh",Flying Horse Pictures,[65]
N O V,14.0,Marijuana,M. D. Anand,"Rishi Rithvik, Asha Parthalom",Third Eye Creation,[66]
N O V,14.0,Mookuthi Amman,RJ Balaji N. J. Saravanan,"Nayanthara, RJ Balaji, Urvashi, Smruthi Venkat",Vels Film International,[67]
N O V,14.0,Naanga Romba Busy,Badri,"Prasanna, Shaam, Ashwin Kakumanu, Shruti Marathe",Avni Movies,[68]
N O V,14.0,Thatrom Thookrom,Arul Suriakannu,"Teejay Arunasalam, Kaali Venkat, Cheenu Mohan",Media Marshal,[69]
N O V,20.0,Puranagar,Minnal Murugan,"Kamal Govindraj, Ashwini Chandrasekar, Suganya",Valliyammaal Production,[70]
N O V,20.0,Quota,P. Amudhavanan,"Chella, Saji Subarna, Naresh Madeswar",Team A Ventures,[71]
N O V,20.0,Routtu,A. C. Manikandan,"Kavithiran, Madhumitha, Appukutty, Mime Gopi",Saromi Movie Garland,
N O V,24.0,Andhaghaaram,V. Vignarajan,"Arjun Das, Vinoth Kishan, Pooja Ramachandran, Misha Ghoshal",A for Apple,[72]
N O V,26.0,13aam Number Veedu,Vivy Kathiresan,"Ramana, Sanjeev, Praveen Prem, Varsha Bollamma",Sri Swarnalatha Productions,[73]
N O V,26.0,Theeviram,Michael Muthu,"Gokul Anand, Amzath Khan, Arjun Chidambaram",Super Talkies,
N O V,27.0,Aarvakolaru,G. V. Chandar,"Abilash, Preethi Dyana, Martin Jayaraj",Big Screen Cinemas,
N O V,27.0,Dhowalath,Sanjhey Siva,"Sakthi Sivan, Ritu, Yogi Babu, Yog Japee",Right Arts,[74]
N O V,27.0,Kavalthurai Ungal Nanban,RDM,"Suresh Ravi, Raveena Ravi, Mime Gopi",BR Talkies Corporation,[75]
N O V,27.0,Yen Peyar Anandhan,Sridhar Venkatesan,"Santhosh Prathap, Athulya Ravi, Deepak Paramesh",Savitha Cine Arts,[76]
D E C,4.0,Ithu En Kathal Puthakam,Madhu G. Kamalam,"Jai Jacob, Rajesh Raj, Anjitha Sree",Roseland Cinemas,[77]
D E C,4.0,Kadathal Kaaran,S. Kumar,"Kevin, Renu Soundar, Rukmini Babu",F3 Films,[78]
D E C,4.0,Kanni Raasi,Muthukumaran,"Vimal, Varalaxmi Sarathkumar, Pandiarajan",King Movie Makers,[79]
D E C,4.0,Soodu,S. Arumugasamy,"M. Pandian, Sasana, Thendral",SKM Medias,[80]
D E C,11.0,Biya,Raaj Gokul Dass,"Jubilrajan P. Dev, Savanthika",Aromal Cine Creation,[81]
D E C,11.0,Karuppankaatu Valasu,Selvendran,"Ebenezer Devaraj, Neelima Esai, George Vijay Nelson",Crew21 Entertainment,[82]
D E C,11.0,Kombu,E. Ibrahim,"Lollu Sabha Jeeva, Disha Pandey, Pandiarajan",Sri Sai Srivivasa Pictures,[83]
D E C,11.0,Mei Maranthen,V. Muthukumar,"Sanjay, Sanyathara, Nekha",CGM Pictures,
D E C,11.0,Miya,A. L. Ravi Mathew S.,"Namitha, Sonia Agarwal, Veerender",E Media Productions,
D E C,11.0,Thiruvalar Panchangam,Malarvizhi Natesan,"Ananth Nag, Kadhal Sukumar, Aadukalam Naren",Alar Studios,[84]
D E C,18.0,Kallathanam,E. C. Dhandapani,"Yugan, Sapna, Martin, Kannan",Win Pictures,[85]
D E C,18.0,Selathu Ponnu,Star Ganesh,"Star Ganesh, Kamali",Star Ganesh,
D E C,18.0,Sollunganne Sollunga,Elango Lakshman,"Mahanadi Shankar, Nellai Siva, Halwa Vasu",Arun Creations,
D E C,18.0,Vaazhthugiren,Ramasubramanian,"Kutty Raja, Jeni",MM Cinemas,
D E C,25.0,Chithirame Solladi,Gourishankar,"Cool Suresh, Gopika Nair, Mahanadi Shankar",MGS Productions,[86]
D E C,25.0,Chiyangal,Vaigarai Balan,"Karikalan, Risha, Nalinikanth",KL Productions,[87]
D E C,25.0,Enakku Onnu Therinjaakanum,K. S. Saravanan,"Kiran, Meghana, Viji Chandrasekhar",Enjoy Creators,
D E C,25.0,Manthira Palagai,R. Sampath,"R. Sampath, Gayathri",Sivasankari Movie Makers,[88]
D E C,25.0,Ooratchi Ondriyam,K. M. Krishnamurthy,"Sridhar, Thamali, R. Sundarrajan",Pandimuni Pictures,
D E C,25.0,Oru Pakka Kathai,Balaji Tharaneetharan,"Kalidas Jayaram, Megha Akash, Jeeva Ravi",Vasans Visual Ventures,[89]
D E C,25.0,Thappa Yosikadheenga,Sulthaans,"S. P. Raja, Jyothisha",Niranjana Productions,[90]
D E C,25.0,Thoonga Kangal,T. Vinu,"T. Vinu, Durai Sudhakar, George Maryan",Vetri Films,
D E C,25.0,Time Up,Manu Parthepan,"Rajendran, Manu Parthepan, Monica Chinnakotla",Kalai Cinemas,[91]
D E C,25.0,Uyirkkodi,R. P. Ravi,"R. P. Ravi, Anjana Naksathra",Jayakkodi Pictures,
D E C,25.0,Vaanga Padam Paarkalam,K. S. Nesamanavan,"GG, Kamali, Livingston",SSP Arts Movies,[92]
D E C,,,,,,
