Opening,Opening.1,Title,Director,Cast,Studio,Ref
J A N,14,Alli Arjuna,Saran,"Manoj Bharathiraja, Richa Pallod, Preetha",Janani Art Creations,[5]
J A N,14,Azhagi,Thangar Bachan,"Parthiban, Nandita Das, Devayani",Udayageetha Cine Creations,[6]
J A N,14,Pammal K. Sambandam,Mouli,"Kamal Haasan, Simran, Abbas, Sneha",Sri Rajlakshmi Films,[7]
J A N,14,Punnagai Desam,K. Shajahan,"Tarun, Kunal, Sneha, Hamsavardhan, Preetha",Super Good Films,[8]
J A N,14,Red,Ram Sathya,"Ajith Kumar, Priya Gill, Salim Ghouse",NIC Arts,[9]
J A N,14,Vivaramana Aalu,K. Selva Bharathy,"Sathyaraj, Devayani, Mumtaj, Vivek",Evergreen Movie International,[10]
F E B,8,Amaiyappa,Rama Murugapandian,"Ponnambalam, Roshini, Mahanadi Shankar",Ampa Pictures,[11]
F E B,8,Shakalaka Baby,Rama Narayanan,"Roja, Vivek, Vadivelu, Radhika Chaudhari",Shivakami Production,
F E B,14,Dhaya,Senthil Kumar,"Prakash Raj, Meena, Raghuvaran",Duet Movies,[12]
F E B,14,Kannathil Muthamittal,Mani Ratnam,"R. Madhavan, Simran, Nandita Das",Madras Talkies,[13]
F E B,15,Charlie Chaplin,Sakthi Chidambaram,"Prabhu, Prabhu Deva, Abhirami, Gayathri Raguram",Roja Combines,[14]
F E B,22,Kamarasu,P. C. Anbazhagan,"Murali, Laila, Chandrasekhar, Srividya",Shanthi Vanaraja Films,[15]
M A R,15,Saptham,Sivaguru,"Rishi, Rithiga, Sriman, Abhinayashree",Saburaa International,[16]
MAR,25,Roja Kootam,Sasi,"Srikanth, Bhoomika, Raadhika",Oscar Films,[17]
A P R,12,Gemini,Saran,"Vikram, Kiran, Kalabhavan Mani",AVM Productions,[18]
A P R,12,Raajjiyam,Manoj Kumar,"Vijayakanth, Shamita Shetty, Priyanka Trivedi, Dileep",Guru Films,[19]
A P R,12,Sri Bannari Amman,Bharathi Kannan,"Karan, Khushbu, Vijayashanti",Sri Mahalakshmi Productions,[20]
A P R,12,Thamizh,Hari,"Prashanth, Simran, Vadivelu, Nassar",Deivanai Movies,[21]
A P R,12,Thamizhan,Majith,"Vijay, Priyanka Chopra, Nassar",GV Films,[22]
A P R,19,Junior Senior,J. Suresh,"Mammooty, Hamsavardhan, Charulatha, Leena",Sakthi International,[23]
M A Y,3,Varushamellam Vasantham,Ravi Shankar,"Manoj Bharathiraja, Kunal, Anita",Super Good Films,[24]
M A Y,10,Thulluvadho Ilamai,Kasthuri Raja,"Dhanush, Sherin, Abhinay",Karthik Cine Visions,[25]
M A Y,10,Unnai Ninaithu,Vikraman,"Suriya, Laila, Sneha",Lakshmi Movie Makers,[26]
M A Y,16,Pesadha Kannum Pesume,Murali Krishna,"Kunal, Monal, Mamtha",Mega Movie Hits,[27]
M A Y,24,Nettru Varai Nee Yaaro,A. Sridhar,"Hamsavardhan, Ruchita Prasad",Nivedhitha Cine Arts,[28]
M A Y,31,Enge Enadhu Kavithai,Aravind,"Kunal, Rathi, Krishna Abhishek",Ashco Media Arts,[29]
J U N,1,123,K. Subash,"Prabhu Deva, Jyothika, Raju Sundaram, Nagendra Prasad",Sidhesh Films,[30]
J U N,14,Devan,Arun Pandian,"Vijayakanth, Arun Pandian, Meena, Kausalya",Friends Creations,[31]
J U N,21,Ezhumalai,Arjun,"Arjun, Simran, Gajala, Mumtaj",Sri Venkateswara Production,[32]
J U N,21,Thenkasi Pattanam,Rafi Mecartin,"Sarath Kumar, Napoleon, Devayani, Samyuktha Varma",Mass Movie Makers,[33]
J U N,27,Panchatanthiram,K. S. Ravikumar,"Kamal Haasan, Simran, Ramya Krishnan",Sri Rajlakshmi Films,[34]
J U L,5,Raja,Ezhil,"Ajith Kumar, Jyothika, Priyanka Trivedi",Serene Movie Makers,[35]
J U L,12,Samurai,Balaji Sakthivel,"Vikram, Anita, Jaya Seel",Aalayam Productions,[36]
J U L,13,Yai! Nee Romba Azhaga Irukey!,Vasanth,"Shaam, Sneha, Jaya Re",GV Films,[37]
J U L,20,Guruvamma,Thamarai Sendhoorapandi,"Livingston, Devayani",Sheem Work Media,[38]
J U L,20,Shree,Pushpavasagan,"Suriya, Shruthika, Gayatri Jayaraman",Venkateswaralayam,[39]
J U L,20,Youth,Vincent Selva,"Vijay, Sandhiya, Sindhu Menon",Lakshmi Productions,[40]
A U G,2,Karmegham,S. P. Rajkumar,"Mammooty, Abhirami",SSR Movies,[41]
A U G,15,Baba,Suresh Krishna,"Rajinikanth, Manisha Koirala, Ashish Vidyarthi",Lotus International,[42]
A U G,23,Ivan,R. Parthiban,"R. Parthiban, Soundarya, Meena",Bioscope Film Framers,[43]
A U G,29,Plus 2,Krithik,"Krithik, Suja Varunee",Friendship Creations,
A U G,30,Naina,Manobala,"Jayaram, Manya",VSK Films,[44]
A U G,30,Sundhara Travels,Thaha,"Murali, Vadivelu, Radha",Yuvasree Creations,[45]
S E P,5,Run,N. Lingusamy,"R. Madhavan, Meera Jasmine, Atul Kulkarni",Sri Surya Movies,[46]
S E P,6,King,Prabu Solomon,"Vikram, Sneha",Indian Theatre Production,[47]
S E P,12,Arputham,R. S. Venkatesh,"Raghava Lawrence, Anu Prabhakar, Kunal",Super Good Films,[48]
S E P,12,En Mana Vaanil,Vinayan,"Jayasurya, Kavya Madhavan",Oscar Films,[49]
S E P,20,Maaran,A. Jawahar,"Sathyaraj, Seetha, Abhinayashree",Power Media,[50]
S E P,20,Namma Veetu Kalyanam,V. Sekhar,"Murali, Meena, Vindhya, Vivek, Vadivelu",Thiruvalluvar Kalaikoodam,[51]
S E P,27,Samasthanam,Rajkapoor,"Sarath Kumar, Devayani, Suresh Gopi, Abhirami",Roja Combines,[52]
S E P,28,Jjunction,R. S. Ramanathan,"Abhinay, Kanishka Sodhi, Aamna Sharif",Hi-Tec Media,[53]
O C T,4,Album,Vasanthabalan,"Aryan Rajesh, Shrutika",Kavithalayaa Productions,[54]
O C T,4,Five Star,Susi Ganesan,"Prasanna, Kanika, Krishna",Madras Talkies,[55]
O C T,4,University,Pragahdeesh,"Jeevan, Gajala",Maayaburi Screens,[56]
N O V,4,Andipatti Arasampatti,Dhananjeyan,"Pandiarajan, Mansoor Ali Khan, Visalini, Srilekha",Meena Cine Combines,[57]
N O V,4,Bagavathi,A. Venkatesh,"Vijay, Reemma Sen, Jai, Monika",Lakshmi Movie Makers,[58]
N O V,4,Game,John Amritraj,"Karthik, Radha, Divya Dutta",Srimasani Amman Pictures,
N O V,4,Kadhal Azhivathillai,T. Rajendar,"Simbhu, Charmy",Simbhu Cine Arts,[59]
N O V,4,Padai Veetu Amman,Pugazhmani,"Ramki, Meena, Devayani",Televista Digitals,[60]
N O V,4,Ramanaa,A. R. Murugadoss,"Vijayakanth, Ashima Bhalla, Simran",Oscar Films,[61]
N O V,4,Solla Marandha Kadhai,Thangar Bachan,"Cheran, Rathi",P A Art Productions,[62]
N O V,4,Villain,K. S. Ravikumar,"Ajith Kumar, Meena, Kiran",NIC Arts,[63]
N O V,29,April Maadhathil,S. S. Stanley,"Srikanth, Sneha",G. J. Cinema,[64]
N O V,29,Gummalam,Sughi S. Moorthy,"Mithun Tejaswi, Rathi",Sharmadha Productions,[65]
N O V,29,I Love You Da,C. Rajadurai,"Raju Sundaram, Simran",Guru Films,[66]
D E C,6,Jaya,Rathnaraj,"Ramya Krishnan, Sherin, Sriman",Ratna Films,[67]
D E C,6,Mutham,S. A. Chandrasekhar,"Arun Vijay, Nagendra Prasad, Charulatha, Nanditha",Digital Magic Productions,[68]
D E C,13,Bala,Deepak,"Shaam, Meera Jasmine",Goldmine Pictures,[69]
D E C,13,Mounam Pesiyadhe,Ameer,"Suriya, Trisha, Laila",Aparajeeth Films,[70]
D E C,20,Kadhal Virus,Kathir,"Richard Rishi, Sridevi Vijayakumar, Abbas",Sound & Light Studios,[71]
D E C,20,Style,Sibi Chakravarthy,"Raghava Lawrence, Gayathri Raguram, Khushbu",Thiru Films,
D E C,20,Virumbugiren,Susi Ganesan,"Prashanth, Sneha",V. M. Creations,[72]
D E C,27,Iravu Padagan,Roshan,"Babu Ganesh, Gumtaj",Tamizhalaya Cine Circuit,
D E C,27,Kalai Kalluri,Chandrasekhar,"Madoo, Swetha Rao",Gold Star Pictures,
