Opening,Opening.1,Title,Director,Cast,Production,Unnamed: 6,Studio,Ref,Casta
A U G,5.0,Vattakara,K. Bharathi Kannan,"Mahesh, Satheesh, Aleesha George",,,Crowni Cinemas,[120],
A U G,12.0,Cadaver,Anoop S. Panicker,"Amala Paul, Riythvika, Athulya Ravi",,,Amala Paul Productions,[121],
A U G,12.0,Kadamaiyai Sei,Venkat Raghavan,"S. J. Suryah, Yashika Aannand, Rajendran",,,Ganesh Entertainment,[122],
A U G,12.0,Viruman,M. Muthaiah,"Karthi, Aditi Shankar, Rajkiran",,,2D Entertainment,[123],
A U G,15.0,Yudha Kandam,P. Anandharajan,"Sriram Karthik, Krisha Kurup, Bose Venkat",,,Paradise Cinemas,,
A U G,18.0,Thiruchitrambalam,Mithran Jawahar,"Dhanush, Nithya Menen, Raashi Khanna",,,Sun Pictures,[124],
A U G,19.0,Jiivi 2,V. J. Gopinath,"Vetri, Ashwini Chandrashekar, Karunakaran",,,V House Productions,[125],
A U G,19.0,Mayathirai,T. Sampath Kumar,"Ashok Kumar, Sheela Rajkumar, Chandini Tamilarasan",,,SSNC Movies,,
A U G,19.0,Methagu 2,R. K. Yogendran,"Gowrishankar, Mani Kutti, Eeshwar Baasha",,,Methagu Thiraikkalam,[126],
A U G,26.0,Company,S. Thangarajan,"Pandi, Murugesan, Tiresh Kumar",,,Shri Mahananda Cinemas,,
A U G,26.0,Diary,Innasi Pandiyan,"Arulnithi, Pavithra Marimuthu, Kishore",,,Five Star Creations,[127],
A U G,26.0,Eppo Kalyanam,Ceciliaraj,"Vishwa, Ranjan Kumar, Livingston",,,Chowdeswari Productions,,
A U G,26.0,John Ahiya Naan,Appu K. Sami,"Appu K. Sami, Nakshatra Rao, Nizhalgal Ravi",,,U Creations,[128],
A U G,31.0,Cobra,R. Ajay Gnanamuthu,"Vikram, Srinidhi Shetty, Irfan Pathan",,,Seven Screen Studio,[129],
A U G,31.0,Natchathiram Nagargiradhu,Pa. Ranjith,"Kalaiyarasan, Kalidas Jayaram, Dushara Vijayan",,,Neelam Productions,[130],
S E P,8.0,Captain,Shakti Soundar Rajan,"Arya, Aishwarya Lekshmi, Simran",,,The Show People,[131],
S E P,9.0,Idhuthaan Kaadhala,Rajasimma,"Saran, Ashmitha, Ayesha",,,Kurinji Films,,
S E P,9.0,Kanam,Shree Karthick,"Sharwanand, Ritu Varma, Amala Akkineni",,,Dream Warrior Pictures,[132],
S E P,9.0,Lilly Rani,Vishnu Ramakrishnan,"Chaya Singh, Thambi Ramaiah, Dushyanth",,,Clapin Cinemass,[133],
S E P,9.0,Not Reachable,Chandru Muruganantham,"Vishwa, Sai Dhanya, Shuba Devaraj",,,Crackbrain Productions,[134],
S E P,9.0,Riya - The Haunted House,Karthik Sivan,"Pandiarajan, Vaiyapuri, Kumaresan",,,Sri Dayakaran Cini Production,,
S E P,15.0,Vendhu Thanindhathu Kaadu,Gautham Vasudev Menon,"Silambarasan, Siddhi Idnani, Raadhika Sarathkumar",,,Vels Film International,[135],
S E P,16.0,Doodi,Karthik Madhusudhan,"Karthick Madhusudhan, Shritha Sivadas",,,Connecting Dots Productions,[136],
S E P,16.0,Sinam,G. N. R. Kumaravelan,"Arun Vijay, Pallak Lalwani, Kaali Venkat",,,Movie Slides,[137],
S E P,23.0,Aadhaar,Ramnath Palanikumar,"Karunas, Arun Pandian, Ineya, Riythvika",,,Vennila Creations,[138],
S E P,23.0,Buffoon,Ashok Veerappan,"Vaibhav, Anagha, Joju George",,,Stone Bench Films,[139],
S E P,23.0,Drama,Aju Kizhumala,"Kishore, Charle, Jai Bala, Kavya Bellu",,,Vibe 3 Productions,[140],
S E P,23.0,Kuzhali,Chera Kalaiyarasan,"Vicky, Aara, Shalini Saroj",,,Mukkuzhi Films,[141],
S E P,23.0,Rendagam [c],Fellini T. P.,"Arvind Swamy, Kunchacko Boban, Eesha Rebba",,,August Cinema,[142],
S E P,23.0,Trigger,Sam Anton,"Atharvaa, Tanya Ravichandran, Arun Pandian",,,Pramod Films,[143],
S E P,29.0,Naane Varuvean,Selvaraghavan,"Dhanush, Elli AvrRam, Indhuja Ravichandran",,,V Creations,[144],
S E P,30.0,Ponniyin Selvan: I,Mani Ratnam,"Vikram, Karthi, Aishwarya Rai Bachchan, Jayam Ravi, Trisha",,,Lyca Productions,[145],
S E P,,,,,,,,,
S E P,,,,,,,,,
O C T,7.0,Pistha,M. Ramesh Bhaarath,,,,One Man Productions,[146],"Shirish Saravanan, Mrudula Murali, Arundhati Nair"
O C T,7.0,Ree,Sundharavadivel,,,,Srianga Productions,[147],"Prasanth Srinivasan, Gayatri Rema, Prasath"
O C T,14.0,Aattral,K. L. Kannan,,,,Chevvanthy Movies,[148],"Vidharth, Shrita Rao, Vamsi Krishna"
O C T,14.0,Kadhalicha Thappa,Surya Kumaran,,,,Sandhanam Films,,"Surya Kumaran, Vennila, Nakshatra"
O C T,14.0,Mugamariyaan,Saimora,,,,American Angle Pictures,,"Kiran Kumar, Gayatri Rema, Y. G. Mahendran"
O C T,14.0,Repeat Shoe,Kalyaan,,,,Netco Studios,[149],"Priya Kalyaan, Yogi Babu, Dileepan"
O C T,14.0,Sanjeevan,Mani Shekar,,,,Malar Movie Makers,[150],"Vinod Logydass, Dhivya Duraisamy, Sathya NJ"
O C T,16.0,Super Senior Heroes,Karthik Kumar,,,,Yoodlee Films,,"K. Bhagyaraj, Ambika, Pandiarajan, Chinni Jayanth"
O C T,21.0,Prince,Anudeep K. V.,,,,Suresh Productions,[151],"Sivakarthikeyan, Maria Ryaboshapka, Sathyaraj"
O C T,21.0,Sardar,P. S. Mithran,,,,Prince Pictures,[152],"Karthi, Raashii Khanna, Rajisha Vijayan, Chunky Pandey"
