Opening,Opening.1,Title,Director,Cast,Studio,Ref
J A N,4,Dhevakottai Kadhal,A. R. Kashim,"Seenu, Suvitha, Ganja Karuppu",Abbas Movie Line,
J A N,4,Maanik,Martyn,"Ma Ka Pa Anand, Suza Kumar, Yogi Babu",Mohita Cine Talkies,[14]
J A N,9,Sigai,Jagadeesan Subu,"Kathir, Raj Bharath, Meera Nair",Divine Studios,[15]
J A N,10,Petta,Karthik Subbaraj,"Rajinikanth, Vijay Sethupathi, Trisha, Simran, Nawazuddin Siddiqui",Sun Pictures,[16]
J A N,10,Viswasam,Siva,"Ajith Kumar, Nayanthara, Jagapathi Babu",Sathya Jyothi Films,[17]
J A N,25,Charlie Chaplin 2,Sakthi Chidambaram,"Prabhu Deva, Nikki Galrani, Adah Sharma, Prabhu",Amma Creations,[18]
J A N,25,Kuthoosi,Siva Sakthi,"Dileepan, Amala Rose Kurian, Yogi Babu",Sri Lakshmi Studios,[19]
J A N,25,Simba,Arvind Sridhar,"Bharath, Premgi Amaren, Bhanu Sri Mehra, Swathi Deekshith","Magic Chair Films, Yasodha Films",[20]
F E B,1,Pei Ellam Paavam,Deepak Narayan,"Arasu Nadarajan, Dona Shankar, Appukutty",Tharakan Cinemas,
F E B,1,Peranbu,Ram,"Mammootty, Anjali, Sadhana",Shree Rajalakshmi Films,[21]
F E B,1,Sagaa,Murugesh,"Saran, Kishore, Sree Raam",Selly Cinemas,[22]
F E B,1,Sarvam Thaala Mayam,Rajiv Menon,"G. V. Prakash Kumar, Aparna Balamurali, Nedumudi Venu, Vineeth",Mindscreen Cinemas,[23]
F E B,1,Vantha Rajavathaan Varuven,Sundar C.,"Silambarasan, Megha Akash, Catherine Tresa, Ramya Krishnan",Lyca Productions,[24]
F E B,7,Dhilluku Dhuddu 2,Rambala,"Santhanam, Shritha Sivadas, Deepti, Rajendran",Handmade Films,[25]
F E B,7,Podhu Nalan Karudhi,Zion,"Santhosh Prathap, Adith Arun, Karunakaran, Subiksha, Anu Sithara",AVR Productions,[26]
F E B,8,Avathara Vettai,Star Kunjumon,"V. R. Vinayak, Meera Nair, Radha Ravi",Star Kunjumon Productions,
F E B,8,Nethraa,A. Venkatesh,"Vinay, Thaman Kumar, Subiksha","Swetha Cine Arts, Vengatesh Pictures",[27]
F E B,8,Urangapuli,M. S. Raj,Navin,"CJ Pictures, Naatchiyaal Films",
F E B,8,Vaandu,Vashan Shaji,"Chinu, Guna, Shigaa, Allwin",MM Power Cine Creations,[28]
F E B,9,Kalavu,Murali Karthik,"Kalaiyarasan, Karunakaran, Abhirami Iyer","Spicy Cool Impressions, Big Print Pictures",[29]
F E B,14,Dev,Rajath Ravishankar,"Karthi, Rakul Preet Singh, Ramya Krishnan",Prince Pictures,[30]
F E B,15,Chithiram Pesuthadi 2,Rajan Madhav,"Vidharth, Ajmal, Ashok, Gayathrie, Radhika Apte",Dream Bridge Productions,[31]
F E B,15,Goko Mako,Arunkanth,"Ram Kumar, Dhanush, Sarah, Chaams, Delhi Ganesh",InfoPluto Media Works,
F E B,15,Kadhal Mattum Vena,Sam Khan,"Sam Khan, Elizabeth, Divyanganaa Jain",Luckky Studios,[32]
F E B,21,To Let,Chezhiyan,"Santhosh Sreeram, Suseela, Dharun",Zha Cinema,[33]
F E B,22,Arandavanuku Irundadhellam Pei,M. S. Selva,"P. Saravanan, Anu Krishna",KKP Vela Films,
F E B,22,Kanne Kalaimaane,Seenu Ramasamy,"Udhayanidhi Stalin, Tamannaah, Vadivukkarasi",Red Giant Movies,[34]
F E B,22,LKG,K. R. Prabhu,"RJ Balaji, Priya Anand, Nanjil Sampath",Vels Film International,[35]
F E B,22,Pettikadai,Esakki Karvannan,"Samuthirakani, Chandini Tamilarasan, Varsha Bollamma",Lakshmi Creations,[36]
