Opening,Opening.1,Title,Director,Cast,Studio,Ref
J A N,12,Dancer,Keyaar,"Kutty, Robert, Kanika",,
J A N,14,Aayudham,M. A. Murugesh,"Prashanth, Sneha",,
J A N,14,Ayya,Hari,"Sarath Kumar, Nayantara, Napoleon",,
J A N,14,Devathaiyai Kanden,Boopathy Pandian,"Dhanush, Sridevi Vijayakumar, Kunal",,
J A N,14,Thirupaachi,Perarasu,"Vijay, Trisha Krishnan, Mallika",,
J A N,21,Iyer IPS,Hari Rajan,"Sathyaraj, Megha, Sanghavi",,
J A N,28,Ayodhya,R. Jayaprakash,"Mohankumar, Ramana, Rekha Unnikrishnan, Ragini Nandwani",,
F E B,4,Kannamma,S. S. Baba Vikram,"Meena, Prem Kumar, Bose Venkat",,
F E B,11,Ji,N. Linguswamy,"Ajith Kumar, Trisha Krishnan",,
F E B,18,Kannadi Pookal,K. Shahjahan,"Parthiban, Kaveri",,
F E B,18,Sukran,S. A. Chandrasekhar,"Vijay, Ravi Krishna, Natassha",,
F E B,18,Ulla Kadathal,Pugazhendhi Thangaraj,"Vignesh, Yugendran, Kutty Radhika",,
F E B,25,Aadhikkam,V. C. Guhanathan,"Vignesh, Ranjith, Monal",,
M A R,4,Kadhal FM,Jayaprakash,"Manikandan, Shivani Singh, Aravind Akash",,
M A R,4,Mannin Maindhan,Rama Narayanan,"Sathyaraj, Sibiraj, Suha",,
M A R,4,Raam,Ameer,"Jiiva, Gajala, Saranya, Rahman",,
M A R,4,Rightaa Thappaa,R. Bhuvana,"Ramana, Uma",,
M A R,10,Maayavi,Singampuli,"Suriya, Jyothika, Sathyan",,
M A R,11,London,Sundar C.,"Prashanth, Ankitha, Mumtaj, Pandiarajan",,
M A R,18,Jathi,R. Vijaragava,"Sathya, Sujitha",,
M A R,18,Karagattakkari,Bharathi Kannan,"Roja, SSR Kannan, Vilashini",,
M A R,25,Kicha Vayasu 16,A. N. Rajagopal,"Simran, Manikandan, Jai Akash",,
A P R,1,Girivalam,Shivraj,"Shaam, Richard Rishi, Tanu Roy",,
A P R,1,Gurudeva,Jaffer,"Jai Akash, Pranathi",,
A P R,1,Thaka Thimi Tha,Sundar C.,"Yuvakrishna, Ankitha, Vivek",,
A P R,8,Sevvel,Primose,"Jai Akash, Rajkiran, Misha",,
A P R,14,Chandramukhi,P. Vasu,"Rajinikanth, Jyothika, Nayantara, Prabhu, Vadivelu",,
A P R,14,Priyasakhi,K. S. Adhiyaman,"R. Madhavan, Sadha",,
A P R,14,Sachein,John Mahendran,"Vijay, Genelia D'Souza, Vadivelu",,
A P R,15,Mumbai Xpress,Singeetham Sreenivasa Rao,"Kamal Haasan, Manisha Koirala, Ramesh Aravind",,
M A Y,6,Jithan,Vincent Selva,"Githan Ramesh, Pooja, Sarath Kumar",,
M A Y,6,Karka Kasadara,R. V. Udayakumar,"Vikranth, Lakshmi Rai, Diya, Vadivelu",,
M A Y,12,"6'2""",V. Senthil Kumar,"Sathyaraj, Sunitha Varma, Vadivelu",,
M A Y,13,Kana Kandaen,K. V. Anand,"Srikanth, Gopika, Prithviraj",,
M A Y,20,Amudhae,Ezhil,"Jai Akash, Madhumitha, Pranathi",,
M A Y,20,Arinthum Ariyamalum,Vishnuvardhan,"Arya, Navdeep, Sameksha, Prakash Raj",,
M A Y,27,Kadhal Seiya Virumbu,Ravi Bhargavan,"Santhosh, Srisha, Aswitha",,
M A Y,27,Neeye Nijam,Indhran,"Shaan Vijay, Sumesh, Tejashree",,
M A Y,27,Pesuvoma,S. K. Udayan,"Kunal, Sharmilee",,
M A Y,27,Power of Women,Jayadevi,"Khushbu, Hariharan, Riyaz Khan",,
J U N,3,Ullam Ketkumae,Jeeva,"Shaam, Arya, Laila, Pooja, Asin",,
J U N,3,Padhavi Paduthum Paadu,C. Ramalingam,"Ranjith, Anamika",,
J U N,10,Anniyan,Shankar,"Vikram, Sadha, Prakash Raj, Vivek",,
J U N,24,Englishkaran,Sakthi Chidambaram,"Sathyaraj, Madhumitha, Namitha, Vadivelu",,
J U N,24,Pon Megalai,Sakthi Chithran,"Nithya Das, Abhinay, Charan Raj",,
J U L,1,Kaatrullavarai,Radha Bharathi,"Jai Akash, Pranathi",,
J U L,15,Chinna,Sundar C.,"Arjun, Sneha",,
J U L,22,Ayul Regai,K. G. Ashok,"Thennavan, Karikalam, Sriji, Gayathri",,
J U L,22,February 14,S. P. Hosimin,"Bharath, Renuka Menon, Ajmal",,
J U L,29,Daas,Babu Yogeswaran,"Jayam Ravi, Renuka Menon",,
J U L,29,Thullum Kaalam,Charana,"Rajeev, Vineetha, Tharika",,
A U G,5,Selvam,Agathiyan,"Nandha, Uma, Vani",,
A U G,5,Varapogum Sooriyane,S. Karuppusamy,"Trivikram, Priyanjali",,
A U G,10,Alaiyadikkuthu,Kalimuthu,"Sindhu Tolani, Naveen Dhanush, Aari Arujunan",,
A U G,12,ABCD,Saravana Subbiah,"Shaam, Sneha, Aparna Pillai, Nandana",,
A U G,15,Ponniyin Selvan,Radha Mohan,"Ravi Krishna, Gopika, Revathi",,
A U G,19,Andha Naal Nyabagam,Mani Bharathy,"Ramana, Sridevika, Tejashree",,
A U G,24,Chidambarathil Oru Appasamy,Thangar Bachan,"Thangar Bachan, Navya Nair",,
A U G,26,Oru Naal Oru Kanavu,Fazil,"Srikanth, Sonia Agarwal",,
S E P,2,Oru Kalluriyin Kathai,Nandha Periyasamy,"Arya, Sonia Agarwal",,
S E P,9,Anbe Aaruyire,S. J. Surya,"S. J. Surya, Nila",,
S E P,9,Thotti Jaya,V. Z. Durai,"Silambarasan, Gopika",,
S E P,16,Karpanai,Ashok Raj,"Harish Raghavendra, Keerthi, Sudhi Nambiar, Arpitha",,
S E P,23,Chanakya,A. Venkatesh,"Sarath Kumar, Namitha, Laya",,
S E P,23,Kalaiyatha Ninaivugal,Suraj,"Vishwaji, Poorvaja",,
S E P,23,Mudhal Aasai,A. R. Matheazhagan,"Ganesh, Santhosh, Sitara Vaidya",,
S E P,29,Ghajini,AR Murugadoss,"Suriya, Asin, Nayantara",,
S E P,30,Mazhai,S. Rajkumar,"Jayam Ravi, Shriya Saran",,
