Opening,Opening.1,Title,Director,Cast,Studio,Ref
J A N,10,Dhool,Dharani,"Vikram, Jyothika, Reemma Sen",,
J A N,15,Anbe Sivam,Sundar C,"Kamal Haasan, Madhavan, Kiran",,
J A N,15,Annai Kaligambal,Rama Narayanan,"Livingston, Ramya Krishnan, Anu Prabhakar",,
J A N,15,Chokka Thangam,K. Bhagyaraj,"Vijayakanth, Soundarya, Prakash Raj",,
J A N,15,Kalatpadai,J. Ramesh,"Jai, Vidhu",,
J A N,15,Ramachandra,Raj Kapoor,"Sathyaraj, Vijayalakshmi",,
J A N,15,Vaseegara,K. Selva Bharathy,"Vijay, Sneha",,
J A N,24,Pop Corn,Nassar,"Mohanlal, Simran",,
J A N,31,Aasai Aasaiyai,Ravi Mariya,"Jiiva, Sharmilee",,
F E B,6,Anbu,Thalapathy Raj,"Bala, Deepu, Vadivelu",,
F E B,14,Anbu Thollai,Hayath,"Pandiarajan, Ravali",,
F E B,14,Julie Ganapathi,Balu Mahendra,"Jayaram, Saritha, Ramya Krishnan",,
F E B,14,Kadhaludan,Rajakumaran,"Murali, Devayani, Abbas",,
F E B,14,Student Number 1,Selva,"Sibi Raj, Sherin",,
F E B,21,Yes Madam,Rajaji,"Prabhu, Vijayalakshmi, Vindhya",,
F E B,28,Military,G. Sai Suresh,"Sathyaraj, Rambha, Vijayalakshmi",,
F E B,28,Pallavan,Padmamagan,"Manoj Bharathiraja, Rathi",,
M A R,20,Ilasu Pudhusu Ravusu,L. C. Selva,"Deepak Dinkar, Suja Varunee, Vadivelu",,
M A R,20,Manasellam,Santhosh,"Srikanth, Trisha",,
M A R,20,Nilavil Kalangamillai,V. Sabrivel,"Agnivesh, Malar, Babilona",,
M A R,20,Pavalakkodi,Ram-CP Saravanan,"Vijay Sarathi, Robert, Paval, Shaama, Nirosha",,
M A R,21,Ennai Thalatta Varuvala,K. S. Ravindran,"Ajith Kumar, Vignesh, Reshma",,
A P R,11,Magic Magic 3D,Jose,"Suraj Balajee, S. P. Balasubramaniam, Pooja Kumar, Tirlok Malik",,
A P R,13,Dum,A. Venkatesh,"Silambarasan, Rakshita",,
A P R,13,Kadhal Sadugudu,V. Z. Durai,"Vikram, Priyanka Trivedi",,
A P R,13,Sena,Sujith,"Sathyaraj, Aravind Akash, Rakshita",,
A P R,14,Arasu,Suresh,"Sarathkumar, Simran, Roja",,
A P R,14,Banda Paramasivam,T. P. Gajendran,"Prabhu, Abbas, Rambha, Monika",,
A P R,25,Punnagai Poove,S. D. Sabapathy,"Nandha, Kaveri, Rekha Vedavyas",,
A P R,25,Well Done,Ravindran,"Jayanth, Chytra Hallikeri",,
M A Y,1,Anbe Anbe,Mani Bharathi,"Shaam, Sharmelee",,
M A Y,1,Indru Mudhal,M. A. Murugesh,"Mithun Tejaswi, Daisy Bopanna, Nanditha",,
M A Y,1,Saamy,Hari,"Vikram, Trisha",,
M A Y,8,Inidhu Inidhu Kadhal Inidhu,Sakthi Chidambaram,"Jai Akash, Neha, Hamsavardhan, Monica",,
M A Y,8,Pudhiya Geethai,K. P. Jagannath,"Vijay, Ameesha Patel, Meera Jasmine",,
M A Y,16,Lesa Lesa,Priyadarshan,"Shaam, Trisha",,
M A Y,16,Parthiban Kanavu,Karu Pazhaniappan,"Srikanth, Sneha",,
M A Y,30,Parasuram,Arjun,"Arjun, Kiran, Gayathri Raguram",,
