Opening,Opening.1,Title,Director,Cast,Studio,Ref
J U N,12,Nala Damayanthi,Mouli,"R. Madhavan, Geetu Mohandas, Shrutika",,
J U N,13,Paarai,K. S. Ravikumar,"Sarath Kumar, Jayaram, Meena, Ramya Krishnan",,
J U N,20,Jayam,M. Raja,"Jayam Ravi, Sadha",,
J U L,4,Ice,Raghuraj,"Ashok, Priyanka Trivedi",,
J U L,4,Kaadhal Kondein,Selvaraghavan,"Dhanush, Sonia Agarwal",,
J U L,4,Kovilpatti Veeralakshmi,K. Rajeswar,"Simran, Sonu Sood, Sherin",,
J U L,4,Whistle,J.D-Jerry,"Vikramaditya, Sherin, Gayathri Raguram",,
J U L,11,Priyamaana Thozhi,Vikraman,"R. Madhavan, Jyothika, Sridevi Vijayakumar",,
J U L,18,Aahaa Ethanai Azhagu,Kanmani,"Mithun Tejaswi, Charmee",,
J U L,18,Kadhal Kisu Kisu,P. Vasu,"Bala, Charmee",,
J U L,18,Thayumanavan,Saravanan,"Saravanan, Prema",,
A U G,1,Idhayamae,Raviraja,"Ishaq Hussaini, Krishnana, Vadivelu",,
A U G,1,Kaakha Kaakha,Gautham Vasudev Menon,"Suriya, Jyothika",,
A U G,1,Thithikudhe,Brinda Sarathy,"Jiiva, Sridevi Vijayakumar, Shrutika",,
A U G,1,Vikadan,Arun Pandian,"Harish Raghavendra, Arun Pandian, Gayathri Raguram, Radhika Chaudhari",,
A U G,8,Eera Nilam,Bharathiraja,"Manoj Bharathiraja, Nanditha",,
A U G,15,Alaudin,Ravi Chakravathy,"Prabhu Deva, Ashima Bhalla",,
A U G,15,Thennavan,Nandakumaran,"Vijayakanth, Kiran Rathod",,
A U G,22,Diwan,Surya Prakash,"Sarath Kumar, Kiran Rathod",,
A U G,29,Boys,S. Shankar,"Siddharth, Genelia, Vivek, Bharath, Nakul, Thaman, Manikandan",,
S E P,5,Success,Prashanthshekhar,"Dushyanth, Sonia Agarwal, Nandana",,
S E P,5,Thiruda Thirudi,Subramaniam Siva,"Dhanush, Chaya Singh",,
S E P,12,Alai,Vikram Kumar,"Silambarasan, Trisha",,
S E P,12,Aalukkoru Aasai,V. Sekhar,"Sathyaraj, Meena, Manthra",,
S E P,19,Naam,Saba Kailash,"Prakash Raj, Reshmi",,
S E P,19,Unnai Charanadaindhen,Samuthirakani,"Venkat Prabhu, S. P. B. Charan, Meera Vasudevan, Santhoshi",,
S E P,19,Dhivya Teacher,Kuha Jayaraj,"Anand, Vinitha, Jagan",,
S E P,27,Bheeshmar,Ranjith,"Ranjith, Devayani",,
S E P,27,Galatta Ganapathy,Karthik Kumar,"Pandiarajan, Sanghavi",,
S E P,27,Kaiyodu Kai,Rajan Sarma,"Aravind Akash, Yugendran, Sona",,
S E P,27,Ragasiyamai,Amuthan,"Prasanna, Neelan Singh",,
S E P,27,Three Roses,Parameswar,"Rambha, Jyothika, Laila",,
S E P,27,Winner,Sundar C.,"Prashanth, Kiran, Vadivelu",,
O C T,10,Vadakku Vaasal,B. M. Sundar,"Karthik Kumar, Rithana",,
O C T,24,Anjaneya,N. Maharajan,"Ajith Kumar, Meera Jasmine",,
O C T,24,Ottran,Ilankannan,"Arjun, Simran, Tejashree",,
O C T,24,Pithamagan,Bala,"Vikram, Suriya, Laila, Sangeetha",,
O C T,24,Thirumalai,Ramana,"Vijay, Jyothika, Kausalya",,
N O V,14,Jay Jay,Saran,"R. Madhavan, Pooja, Amoga",,
N O V,21,Iyarkai,S. P. Jananathan,"Shaam, Arun Vijay, Kutti Radhika",,
N O V,21,Kurumbu,Vishnuvardhan,"Allari Naresh, Nikita Thukral, Diya",,
N O V,28,Nadhi Karaiyinile,Ponvannan,Saranya Ponvannan,,
D E C,5,Anbe Un Vasam,R. Balu,"Ashwin, Rathi Arumugam, Yogan",,
D E C,5,Mullil Roja,Kasthuri Pandian,"Vishnu, Lahari, Lakshmi",,
D E C,12,Konji Pesalaam,R. Kaleeswaran,"Sreeja, Vamsi, C. Mukesh Kumar, Avinash",,
D E C,12,Ooruku Nooruper,B. Lenin,"Hans Kaushik, Archana, Kripa",,
D E C,19,Enakku 20 Unakku 18,Jyothi Krishna,"Tarun Kumar, Trisha, Shriya",,
D E C,19,Joot,Azhagam Perumal,"Srikanth, Meera Jasmine",,
D E C,19,Paththikichu,S. S. Arasan,"Devaguru, Manjari, Shakeela, Abhinayashree",,[4]
D E C,19,Thathi Thavadhu Manasu,Azhagu Rajusundaram,"Mumtaj, Kalabhavan Mani",,
D E C,19,Soori,Shelvan,"Vignesh, R. Parthiepan, Uma, Vijayalakshmi",,
D E C,25,Indru,Naveen Muthuraman,"Karthik, Tanu Roy",,
D E C,25,Sindhamal Sitharamal,K. A. Shanmugavel,"Abbas, Nanditha",,
D E C,26,Kadhal Kirukkan,Sakthi Chidambaram,"R. Parthiepan, Richa Pallod, Vineeth",,
D E C,26,Oruththi,Amshan Kumar,"Ganesh Babu, Poorvaja, Bala Singh",,
