Opening,Opening.1,Title,Director,Cast,Studio,Ref
J A N,1.0,Baabi,M. V. Gopalan,,,
J A N,1.0,Kadhal Saregama,Ameerjan,Kaushik,,
J A N,14.0,Engal Anna,Siddique,"Vijayakanth, Prabhu Deva, Swarnamalya, Namitha, Vadivelu",,
J A N,14.0,Image,Alex Pandian,"Jaivarma, Abhinayashree",,[3]
J A N,14.0,Jai,S. Narayan,"Prashanth, Anshu Ambani, Thyagarajan, Rajkiran",,
J A N,14.0,Kovil,Hari,"Silambarasan, Sonia Agarwal, Rajkiran, Nassar",,
J A N,14.0,Pudhukottaiyilirundhu Saravanan,S. S. Stanley,"Dhanush, Aparna Pillai",,
J A N,14.0,Virumaandi,Kamal Haasan,"Kamal Haasan, Abhirami, Napoleon, Pasupathy",,
F E B,6.0,Thendral,Thangar Bachan,"Parthiban, Uma",,
F E B,6.0,Vayasu Pasanga,Bharathi Kannan,"Anush, Jai Arvind, Master Manikandan, Vindhya",,
F E B,13.0,Kamaraj,A. Balakrishnan,"Richard Mathuram, Vijayan, V. S. Raghavan",,
F E B,13.0,Varnajalam,Nakulan Ponnusamy,"Srikanth, Sadha, Kutty Radhika",,
F E B,20.0,Autograph,Cheran,"Cheran, Sneha, Gopika, Mallika, Kanika",,
F E B,20.0,Kangalal Kaidhu Sei,Bharathiraja,"Vaseegaran, Priyamani",,
F E B,26.0,Ennavo Pudichirukku,Meenakshi Sundaram,"Sudeep Sarangi, Bharani, Sindhuri",,
F E B,27.0,Campus,Sharvi,"Sajith Raj, Nitesh, Divya Dwivedi, Sheetal Shah",,
M A R,5.0,Adi Thadi,Shivraj,"Sathyaraj, Napoleon, Abbas, Rathi",,
M A R,5.0,Gambeeram,Suresh,"Sarath Kumar, Laila, Pranathi",,
M A R,12.0,Nee Mattum,Mathi Natesh,"Jana, Deepu, Preethi",,
M A R,19.0,Aarumugasaamy,Raviraja,"Pandiarajan, Preethi Varma",,
M A R,26.0,Pethi Solla Thattathea,Dharma,"Pandiarajan, Nanditha",,
M A R,26.0,Udhaya,Azhagam Perumal,"Vijay, Simran",,
A P R,2.0,Kadhal Dot Com,Selvaraj,"Prasanna, Anu Sasi, Shruthi Raj",,
A P R,14.0,Kanavu Meippada Vendum,Janaki Vishwanathan,"Ramya Krishnan, Asim Sharma, Karthik Srinivasan",,
A P R,14.0,Kuththu,A. Venkatesh,"Silambarasan, Divya Spandana, Kalabhavan Mani",,
A P R,16.0,Ghilli,Dharani,"Vijay, Trisha Krishnan, Prakash Raj",,
A P R,23.0,Aethirree,K. S. Ravikumar,"R. Madhavan, Sadha, Kanika, Rahman",,
A P R,23.0,Vaanam Vasappadum,P. C. Sriram,"Karthik Kumar, Poongkothai Chandrahasan",,
A P R,23.0,Kavithai,G. Kicha,"Vamsi, Chaya Singh, Sarath Babu",,
M A Y,1.0,Arul,Hari,"Vikram, Jyothika, Pasupathy",,
M A Y,1.0,Jana,Shaji Kailas,"Ajith Kumar, Sneha",,
M A Y,7.0,Perazhagan,Sasi Shanker,"Suriya, Jyothika, Vivek",,
M A Y,14.0,Settai,Shivan,"Pandiarajan, Livingston, Vindhya",,
M A Y,21.0,Aaytha Ezhuthu,Mani Ratnam,"Suriya, R. Madhavan, Siddharth, Meera Jasmine, Trisha Krishnan, Esha Deol",,
J U N,11.0,Jore,Selva,"Sathyaraj, Sibiraj, Bhanupriya, Gajala, Ramana",,
J U N,11.0,Maanasthan,Marumalarchi Bharathi,"Sarath Kumar, Abbas, Sakshi Sivanand",,
J U N,25.0,Machi,K. S. Vasanthakumar,"Dushyanth Ramkumar, Shubha Poonja, Pasupathy",,
J U N,25.0,Super Da,Azhagu Raja Sundaram,"Ramki, Kunal, Anusha",,
J U L,9.0,New,S. J. Surya,"S. J. Surya, Simran, Devayani, Kiran",,
J U L,9.0,Singara Chennai,Suriyan,"Abhinay, Rathi, Kalabhavan Mani",,
J U L,16.0,Saga,Ramesh Krish,,,
J U L,16.0,Sema Ragalai,Ram,"Sathyaraj, Devayani, Kalabhavan Mani",,
J U L,23.0,Shock,Thyagarajan,"Prashanth, Meena, Abbas",,
J U L,23.0,Sullan,Ramana,"Dhanush, Sindhu Tolani, Pasupathy",,
J U L,30.0,Azhagiya Theeye,Radha Mohan,"Prasanna, Navya Nair, Prakash Raj",,
J U L,30.0,Loves,K. Jayapandian,"Thamizh, Sona, Sweety",,
J U L,30.0,Kadhale Jayam,Natarajan,"Natarajan, Sudeep Sarangi, Preethi Varma",,
J U L,30.0,Uyirosai,Hariram,"Bharath, Soni",,
A U G,6.0,Sound Party,Aarthi Kumar,"Sathyaraj, Prathyusha",,
