Opening,Opening.1,Title,Director,Cast,Genre,Producer,Ref
M A R,20,Aaya Vada Sutta Kadhai,N. Phanindra,"Avitej, Supurna, Manoharan K., Sai Prashanth",Comedy,Pixl Films,[34]
M A R,20,Agathinai,U. P. Marudhu,"Mahima Nambiar, Aadukalam Naren, Varma",Drama,Sri Harini Pictures,[34]
M A R,20,Iravum Pagalum Varum,Balasriram,"Mahesh, Ananya",Romantic thriller,Sky Dot Films,[34]
M A R,20,Kadavul Paathi Mirugam Paathi,Raaj-Suresh,"Raj Zacharias, Sethu, Swetha Vijay, Pooja Umashankar",Drama,Celebs & Red Carpet Studios,[34]
M A R,20,Kallappadam,J. Vadivel,"Vadivel, Lakshmi Priyaa Chandramouli, Sreerama Santhosh, Gaugin",Thriller,Iraivan Films,[34]
M A R,20,Kaala Kattam,K. Bhaskar,"Pawan, Satyashri",Romance,Jai Indra Movies,[34]
M A R,20,Mooch,Vinu Bharathi,"Nithin George, Misha Ghoshal, Jayaraj, Abhi, Diya, Suhasini, Vellore Girija",Horror,Great B Productions,[34]
M A R,20,Patra,Jayantan,"Mithun Dev, Vaidehi",Action drama,GK Cinemas,[34]
M A R,20,Thilagar,B. Perumal Pillai,"Dhruvva, Mrudhula Bhaskar, Kishore",Action drama,Anger Print,[34]
M A R,20,Vethu Vaettu,S. Manibarathi,"Harish, Malavika Menon, Ganja Karuppu",Romance,Vivin Movie,[34]
M A R,27,Charles Shafiq Karthiga,Sathiya Moorthy Saravanan,"Sharran Kumar, Mishal, Jai Quehaeni, Narayan Lucky, Vimal Antony",Thriller,SS Film Factory,[35]
M A R,27,Manadhil Oru Maatram,Janaa Venkat,"Madhan, Spoorthi Suresh",Romance,Kotrak Films,[35]
M A R,27,Nadhigal Nanaivadhillai,Nanjil P. C. Anbazhahan,"Pranav, Monica, Risha",Romance,Saraswathi Entertainment,[35]
M A R,27,Sarithram Pesu,Sri Mahesh,"Dr. Saravanan, Kannika, Kiruba, Yogeshwaran Bose",Drama,Ayyanar Films,[35]
M A R,27,Valiyavan,M. Saravanan,"Jai, Andrea Jeremiah",Action,SK Studios,[35]
A P R,2,Komban,Muthiah,"Karthi, Lakshmi Menon, Rajkiran",Action drama,Studio Green,[36]
A P R,2,Nannbenda,Jagdish,"Udhayanidhi Stalin, Nayantara, Santhanam",Romantic comedy,Red Giant Movies,[36]
A P R,2,Sagaptham,Surendran,"Shanmugapandian, Neha Hinge, Shubra Aiyappa",Action,Captain Cine Creations,[36]
A P R,10,Chennai Ungalai Anbudan Varaverkirathu,Marudhu Pandian,"Bobby Simha, Lingaa, Prapanjayan, Saranya, Panimalar, Nisha Krishnan",Drama,ATM Productions,[37]
A P R,10,Thunai Mudhalvar,R. Vivekanand,"K. Bhagyaraj, Jayaram, Shwetha Menon, Sandhya",Satire,Anugrahada Art Films,[37]
A P R,17,Kanchana 2,Raghava Lawrence,"Raghava Lawrence, Taapsee Pannu, Nithya Menen",Horror comedy,Raghavendra Productions,[38]
A P R,17,O Kadhal Kanmani,Mani Ratnam,"Dulquer Salmaan, Nithya Menen, Prakash Raj, Leela Samson",Romance,Madras Talkies,[38]
A P R,24,Iridiyam,Sai Mukhunthan,"Mohan Kumar, Aarushi, Vijay Adith, Jangiri Madhumitha, Srinivasan",Action comedy,Quadra Movies,[39]
A P R,24,Kangaroo,Samy,"Arjuna, Varsha Ashwathi, Sri Priyanka",Adventure,V House Productions,[39]
A P R,24,Neethane En Kovil,N. Pathu,"Pathu, Nagaraj",Romance,Nagu Creations,[39]
A P R,24,Yoogan,G. Kamal,"Yashmith, Siddhu GRN, Sakshi Agarwal, Pradeep Balaji, Shyam Kirthivasan",Horror,Twins Production,[39]
M A Y,1,Vai Raja Vai,Aishwarya R. Dhanush,"Gautham Karthik, Priya Anand, Vivek, Daniel Balaji, Taapsee Pannu",Thriller,AGS Entertainment,[40]
M A Y,2,Uttama Villain,Ramesh Aravind,"Kamal Haasan, K. Balachander, Urvashi, Andrea Jeremiah, Pooja Kumar",Comedy drama,Thirrupathi Brothers Raaj Kamal Films International,[41]
M A Y,8,India Pakistan,N. Anand,"Vijay Antony, Sushma Raj",Comedy,Vijay Antony Film Corporation,[42]
M A Y,8,Kadhal Ilavasam,S. R. Balakrishnan,"B. Ganesh, Jshmitha",Romance,Santhya Creations,[42]
M A Y,8,MGR Sivaji Rajini Kamal,Robert,"Robert, Suresh, Manoj, Ramji, Aishwarya, Nirosha, Vanitha",Comedy,Vanitha Film Production,[42]
M A Y,15,36 Vayadhinile,Rosshan Andrrews,"Jyothika, Rahman, Abhirami",Drama,2D Entertainment,[43]
M A Y,15,Purampokku Engira Podhuvudamai,S. P. Jananathan,"Arya, Vijay Sethupathi, Shaam, Karthika Nair",Political thriller,UTV Motion Pictures,[43]
M A Y,22,Demonte Colony,Ajay Gnanamuthu,"Arulnithi, Ramesh Thilak, Sananth Reddy",Horror,Mohana Movies,[44]
M A Y,22,Kamara Kattu,Ramki Ramakrishnan,"Sree Raam, Yuvan, Manishajith, Raksha Raj",Drama,"Sree Daksha Innovations, Reves Creations",[44]
M A Y,22,Nanbargal Narpani Mandram,Radha Bharathi,"Jainath, Akshaya",Drama,Sri Annamalaiyar Movies,[44]
M A Y,22,Siruvani,Ragunath,"Sanjay, Aishwari",Romance,Marudhamalai Films,[44]
M A Y,22,Thiranthidu Seese,M. Nimesh Varshan,"Dhansika, Veeravan Stalin, Narayan Lucky, Anjena Kirti",Thriller,Sudhas Production,[44]
M A Y,22,Vindhai,Laura,"Mahendran, Manishajith, M. S. Bhaskar, Manobala",Comedy,Annai Pudhumai Madha Films,[44]
M A Y,29,Iruvar Ondranal,Anbu G.,"P. R. Prabhu, Krithika Malini",Romance,Ramana Arts,[45]
M A Y,29,Masss,Venkat Prabhu,"Suriya, Nayantara, Pranitha, Parthiban, Samuthirakani",Supernatural thriller,Aadnah Arts,[45]
M A Y,29,Soan Papdi,Sivani,"Sri, Sahil, Niranjana, Priya",Comic thriller,Golden Movie Maker,[45]
J U N,5,Buddhanin Sirippu,Victor Davidson,"Samuthirakani, Mahesh, Vivek, Mithra Kurian",Drama,Sakaria Productions,[46]
