Opening,Opening.1,Title,Director,Cast,Genre,Producer,Ref,Production Studio
A P R,25.0,Ennamo Nadakkudhu,Rajapandi,"Vijay Vasanth, Mahima Nambiar, Prabhu, Rahman",Thriller,Triple V Records,[27],
A P R,25.0,Pongadi Neengalum Unga Kadhalum,Ramakrishnan,"Ramakrishnan, Athmiya Rajan, Karunya Ram",Romance,Wisdom Pictures,[27],
A P R,25.0,Vaayai Moodi Pesavum,Balaji Mohan,"Dulquer Salman, Nazriya Nazim, Madhoo",Romantic comedy,YNOT Studios Radiance Media,[27],
A P R,25.0,Yennamo Yedho,Ravi Thiyagarajan,"Gautham Karthik, Rakul Preet Singh, Nikesha Patel, Prabhu",Romantic comedy,Ravi Prasad Productions,[27],
M A Y,1.0,Nee Enge En Anbe,Sekhar Kammula,"Nayantara, Vaibhav, Pasupathy",Thriller,Endemol India,[28],
M A Y,1.0,Dhavani Kaatru,VRP Manohar,"Aaradhya, Murali, Ravikumar",Romance,Santhosh Studios,[28],
M A Y,2.0,Nee En Uyire,Vikas Lathithraj,"Navarasan, Vaishali",Romance,Sri Lakshmi Vrushadhri Productions,[28],
M A Y,2.0,Eppothum Vendran,Siva Shanmugan,"Sanjay, Sunu Lakshmi",Action,ARR Creations,[28],
M A Y,9.0,Yaamirukka Bayamey,Deekay,"Kreshna, Rupa Manjari, Oviya",Horror comedy,RS Infotainment,[29],
M A Y,9.0,Angusam,Manukannan,"Skanda Ashok, Jayati Guha",Action,Manusri Film International,[29],
M A Y,10.0,Vallavanukku Pullum Aayudham,Srinath,"Santhanam, Ashna Zaveri, Mirchi Senthil, Nagineedu",Action comedy,"PVP Cinema, Handmade Films",[29],
M A Y,16.0,Enn Nenjai Thottaye,R. K. Anbuselvan,"Ravi Kumar, Pavithra",Romance,Guru Surya Movies,,
M A Y,23.0,Kochadaiiyaan,Soundarya Rajinikanth,"Rajinikanth, Deepika Padukone, Shobhana, Sarathkumar, Aadhi, Jackie Shroff, Nassar",Animation/ Period,Eros International,[30],
M A Y,30.0,Amma Ammamma,Balu Manivannan,"Saranya, Sampath Raj, Anand",Drama,Chandrasekhar Thiraikalam,[31],
M A Y,30.0,Adhu Vera Idhu Vera,M. Thilagarajan,"Varshan, Sanyathara, Imman Annachi",Comedy,Jeni Powerful Media,[31],
M A Y,30.0,Hogenakkal,Murthy M. R.,"Thamizhvanan, Jothinanda, Sravya",Drama,Ezhil Productions,[31],
M A Y,30.0,Poovarasam Peepee,Halitha Shameem,"Gaurav Kalai, Pravin Kishore, Vasanth",Adventure,"V Talkies, Baby Shoe Productions",[31],
J U N,6.0,Athiyayam,R. Yuvan,"Sharan Selvam, Ashmitha, Varsha, Pandi, Shankar Guru, Raja",Drama,Film Factory,,
J U N,6.0,Manjapai,Naveen Raghavan,"Vimal, Lakshmi Menon, Rajkiran",Comedy drama,Thirupathi Brothers,[32],
J U N,6.0,Un Samayal Arayil,Prakash Raj,"Prakash Raj, Sneha, Urvashi, Tejus, Samyuktha Hornad",Romance,Duet Movies,[32],
J U N,13.0,Mundasupatti,Ram,"Vishnu, Nandita Swetha",Comedy,Thirukumaran Entertainment,[33],
J U N,13.0,Naan Than Bala,Kannan,"Vivek, Swetha, Venkatraj",Drama,SSS Entertainments,[33],
J U N,13.0,Ottam Aarambam,VST John,"Zaheer, Ezhil",Action,TRY Creations,[33],
J U N,13.0,Thirudu Pogatha Manasu,Chella Thangiah,"Senthil Ganesh, Sai Aishwarya, Thangaiya",Romance,Ajantha Kalaikoodam,[33],
J U N,13.0,Uyirukku Uyiraga,Manoj Kumar,"Sanjeev, Sharran Kumar, Nandhana, Preethi Das",Drama,Motherland Movies,[33],
J U N,13.0,Vazhum Deivam,Sundar,"Anusha, Mohana, Charmila, Radharavi",Drama,SRP Films,[33],
J U N,19.0,Vadacurry,Saravana Rajan,"Jai, Swati Reddy, Kasthuri, RJ Balaji",Comedy thriller,Meeka Entertainment,[34],
J U N,20.0,Netru Indru,Padmamagan,"Vimal, Prasanna, Richard, Arundhathi, Manochitra",Adventure thriller,26699 Cinema,[34],
J U N,20.0,Sooraiyadal,Thamara Kannan,"Sribalaji, Leema Babu, Gayathri",Drama,Thrilok Productions,[34],
J U N,20.0,Vetri Selvan,Rudhran,"Ajmal, Radhika Apte, Mano",Drama,Silicon Studios,[34],
J U N,27.0,Athithi,Bharathan,"Nandha, Ananya, Nikesh Ram",Thriller,Spellbound Films,[35],
J U N,27.0,Dhanush 5am Vaguppu,Kathaga Thirumalavan,"Akhil, Ashrita, K. R. Vijaya",Drama,K V Productions,[35],
J U N,27.0,Enna Satham Indha Neram,Guru Ramesh,"Nithin Sathya, N. Puralavan, Raja, Maanu, Malavika Wales",Comedy thriller,A. V. A Productions,[35],
J U N,27.0,Saivam,A. L. Vijay,"Nassar, Baby Sara, Baasha, Twara Desai",Drama,Think Big Studios,[35],
J U L,1.0,Eera Veyyil,A. K. Micheal,"Aryan Rajesh, Saranya Nag",Romantic drama,,,"AKM Film Production, Day Night Pictures"
J U L,4.0,Arima Nambi,Anand Shankar,"Vikram Prabhu, Priya Anand",Thriller,,[36],V Creations
J U L,11.0,Nalanum Nandhiniyum,Venkatesan,"Michael Thangadurai, Nandita Swetha",Romance,,[37],Libra Productions
J U L,11.0,Pappali,A. Govindamurthy,"Senthil Kumar, Ishara Nair",Romantic comedy,,[37],Arasur Movies
J U L,11.0,Ramanujan,Gnana Rajasekaran,"Abhinay Vaddi, Bhama, Suhasini Maniratnam, Abbas, Sarath Babu",Biopic,,[37],Camphor Cinema
J U L,11.0,Sooran,Balu Narayanan,"Karan, Shipali Sharma, Anumol",Drama,,[37],Arowana Pictures
J U L,18.0,Irukku Aana Illai,K. M. Saravanan,"Vivanth, Eden Kuriakosse, Manisha Shree",Horror comedy,,[38],Varam Creations
J U L,18.0,Sathuranga Vettai,H. Vinoth,"Natarajan Subramaniam, Ishara Nair",Heist-comedy,,[38],"Manobala's Picture House, SR Cinema"
J U L,18.0,Thalaikeezh,Rex Raj,"Rakesh, Nanda, Thejamai",Erotic thriller,,[38],Maadha Creations
J U L,18.0,Velaiilla Pattadhari,Velraj,"Dhanush, Amala Paul, Vivek",Action-comedy,,[38],Wunderbar Films
J U L,24.0,Thirumanam Enum Nikkah,Anees,"Jai, Nazriya Nazim, Hebah Patel",Romance,,[39],Aascar Films
J U L,25.0,Innarku Innarendru,Aandal Ramesh,"Silambarasan, Anjana, Stephy",Romance,,[39],Elumalayin Movies
A U G,1.0,Jigarthanda,Karthik Subbaraj,"Siddharth, Lakshmi Menon, Bobby Simha",Mob,,[40],Five Star Films
A U G,1.0,Muthal Manavan,Gopi Gandhi,"Gopi Gandhi, Sanu, Iswarya, Ramya",Drama,,[40],RSG Pictures
A U G,1.0,Sandiyar,Chozhadevan,"Jagan, Kayal, Nayakam",Action,,[40],Vendhar Movies
A U G,1.0,Sarabham,Arun Mohan,"Naveen Chandra, Salony Luthra, Aadukalam Naren",Thriller,,[40],Thirukumaran Entertainment
A U G,8.0,Agnee,AJR Harikesava,"AJR Harikesava, Kavin Shree",Romance,,[41],Sri Krishna Thiraikoodam
A U G,8.0,Bharani,Mavanan,"Raja Prabhu, Vijay Kathir, Leelakumar, Umashree",Drama,,[41],IRP Productions
A U G,15.0,Anjaan,Lingusamy,"Suriya, Samantha, Vidyut Jamwal, Manoj Bajpai",Action,,[42],UTV Motion Pictures
A U G,15.0,Kathai Thiraikathai Vasanam Iyakkam,R. Parthiepan,"Santhosh Prathap, Akhila Kishore, Sahithya Jagannathan",Drama,,[42],Reves Creations
A U G,15.0,Snehavin Kadhalarkal,Muthuramalincoln,"Advaitha, Ashwanth Thilak, Uday, Athif",Romance,,[42],Tamilan Kalaikkoodam
A U G,22.0,Aindhaam Thalaimurai Sidha Vaidhiya Sigamani,Ravichandar,"Bharath, Nandita Swetha, Karunakaran",Comedy,,[43],Rajam Productions
A U G,22.0,Kabadam,Jyothimurugan,"Sachin, Santhosh, Angana Roy",Drama,,[43],Chozha Creations
A U G,22.0,Thottal Vidathu,Ajit Ravi Pegasus,"Ajit Ravi Pegasus, Sanam Shetty, Nancy Gupta",Drama,,[44],Arva Productions
A U G,29.0,Irumbu Kuthirai,Yuvaraj Bose,"Atharvaa, Priya Anand, Raai Laxmi",Action,,[45],AGS Entertainment
A U G,29.0,Kaadhal 2014,Sughandan,"Harish, Neha, Manikandan, Appukutty",Romance,,[45],Saravana Film Makers
A U G,29.0,Megha,Karthik Rishi,"Ashwin Kakumanu, Srushti Dange, Angana Roy",Romance,,[45],GB Studios
A U G,29.0,Puthiyathor Ulagam Seivom,Nithyanandam,"Aajeedh, Anu, Yazhini, Santhosh, Pravin",Drama,,[45],Sri Teja Films
A U G,29.0,Salim,N. V. Nirmal Kumar,"Vijay Antony, Aksha Pardasany",Thriller,,[45],Studio 9 Production Vijay Antony Film Corporation
S E P,5.0,Amara Kaaviyam,Jeeva Shankar,"Sathya, Miya",Romantic drama,,[46],The Show People
S E P,5.0,Kadhalai Thavira Verondrum Illai,K. Selva Bharathy,"Yuvan, Saranya Mohan",Romantic comedy,,[46],Chen Movies
S E P,5.0,Kalla Saavi,Rajeswaran,"Rajeswaran, Varsha",Adult,,[46],Siva Muruga Pictures
