Opening,Opening.1,Title,Director,Cast,Studio,Ref
F E B,26.0,Innisai Kavalan,Wilfred Gomes,"Wilfred Gomes, Aarthipuri, Riyaz Khan",Will International,[13]
F E B,26.0,Vinnaithaandi Varuvaayaa,Gautham Vasudev Menon,"Silambarasan, Trisha","Escape Artists Motion Pictures, RS Infotainment",[14]
M A R,5.0,Aval Peyar Thamizharasi,Meera Kathiravan,"Jai, Nandagi",Moser Baer & Blue Ocean Entertainment,[15]
M A R,5.0,Kumari Pennin Ulathile,S. Kishore,"Chandra Haasan, Sippy, S. Kishore",Visak Movies,[13]
M A R,5.0,Thambikku Indha Ooru,Badri,"Bharath, Sana Khan, Madalsa Sharma",VK Media,[15]
M A R,5.0,Veerasekaran,Sathish Kumar,"Veerasamar, Amala Paul, Prathap K. Pothan",FCS Creations,[15]
M A R,12.0,Azhagaana Ponnuthan,Thiru,"Namitha, Raj Karthik",K Cinema,[16]
M A R,12.0,Karunai,Ilan,"Ilan, Gayathri Rajagopal, Master Balaji",Ram Sairam Films,[16]
M A R,12.0,Maathi Yosi,Nandha Periyasamy,"Shammu, Harish, Gopal, Alex, Lokesh",PSSR films,[16]
M A R,12.0,Yathumaagi,R. Balakumar,"Sachin, Sunaina",Chozha Creations,[16]
M A R,19.0,Kacheri Arambam,Thiraivannan,"Jiiva, Poonam Bajwa, J. D. Chakravarthy, Vadivelu",Super Good Films,[17]
M A R,19.0,Mundhinam Paartheney,Magizh Thirumeni,"Sanjay, Ekta Khosla, Lizna",Seventh Channel Communications,[17]
M A R,26.0,Angadi Theru,Vasanthabalan,"Mahesh, Anjali",Ayngaran International,[18]
M A R,26.0,Padagasalai,J. Tamil,"Satya, Aravind, R. Sanjay, Iniya, Preethi Pushpan",Devavijayam Film Makers,[18]
A P R,2.0,Paiyaa,Linguswamy,"Karthi, Tamannaah Bhatia, Milind Soman",Thirupathi Brothers,[19]
A P R,9.0,Sivappu Mazhai,V. Krishnamurthy,"Suresh Joachim, Meera Jasmine",Joachim International,[20]
A P R,23.0,Bayam Ariyaan,Prathesh,"Mahesh Kumar, Udhayathara, Kishore",Jeyamathey Pictures,[21]
A P R,23.0,Pattu Vanna Rosavam,S. S. Senthil Kumar,"Kovur Ravi, Avanya",Kovur Ravi,[22]
A P R,23.0,Rettaisuzhi,Thamira,"K. Balachander, Bharathiraja, Aari, Anjali",S Pictures,[21]
A P R,30.0,Sura,S. P. Rajkumar,"Vijay, Tamannaah Bhatia, Dev Gill, Vadivelu",Murugan Cine Arts,[23]
M A Y,7.0,Goripalayam,Rasu Madhuravan,"Ramakrishnan, Vikranth, Harish, Prakash",Global Infotainment,[24]
M A Y,7.0,Guru Sishyan,Sakthi Chidambaram,"Sathyaraj, Sundar C., Shruti Marathe, Santhanam",Cinema Paradise,[24]
M A Y,7.0,Irumbukkottai Murattu Singam,Chimbudevan,"Raghava Lawrence, Lakshmi Rai, Padmapriya, Sandhya",AGS Entertainment,[24]
M A Y,7.0,Kutti Pisasu,Rama Narayanan,"Baby Keerthika, Ramji, Sangeetha, Ramya Krishnan, Kaveri",Sri Thenandal Films,[24]
M A Y,14.0,Maa,Fathima Beevi,Deepak,Kalai Vizhi,[25]
M A Y,21.0,Kanagavel Kaaka,Kavin Bala,"Karan, Haripriya",Akarshini Theatres,[26]
M A Y,21.0,Kola Kolaya Mundhirika,Madhumitha,"Karthik Kumar, Shikha, Jayaram",Giriguja Films International,[26]
M A Y,21.0,Maanja Velu,A. Venkatesh,"Arun Vijay, Karthik, Dhansika",Feather Touch Entertainment,[26]
M A Y,21.0,Magane En Marumagane,T. P. Gajendran,"Vivek, Mithun, Thenmozhi, Yamini Sharma",Muthulakshmi Movies,[26]
M A Y,28.0,Kadhalagi,K. R. Vishwaa,"Krishnakumar, Srushti Dange, Prakash Raj",K Creations,[27]
M A Y,28.0,Kattradhu Kalavu,Balaji Devi Prasad,"Kreshna, Vijayalakshmi",Talking Times,[27]
M A Y,28.0,Singam,Hari,"Suriya, Anushka Shetty, Prakash Raj",Studio Green,[27]
J U N,3.0,Pen Singam,Bali Srirangam,"Meera Jasmine, Uday Kiran, Richard",J Nandini Arts,[28]
J U N,11.0,Drogam Nadanthathu Enna,Sameer,"Kishore, Saso, Leena, Swati Verma, Ramya Sen",B Pictures,
J U N,11.0,Orr Eravuu,Hari Shankar,"Sathish, Avantika, Ajay",Shankar Bros,
J U N,11.0,Pa. Ra. Palanisamy,M. Muthurathnam,"Sundaram, Ashwin, Srinivas Rao, Meenakshi Kailash",Thangam Real Pictures,
J U N,18.0,Raavanan,Mani Ratnam,"Vikram, Aishwarya Rai, Prithviraj",Madras Talkies,[29]
J U N,25.0,Kalavani,A. Sargunam,"Vemal, Oviya",Sherali Films,[30]
J U N,25.0,Milaga,Ravi Mariya,"Natty, Poongodi, Suja",Shri Nataraja Arts,[30]
J U N,25.0,Thittakudi,Sundaran,"Ravi, Aswatha",Sri Krishna Pictures,[30]
J U N,25.0,Unakkaga Oru Kavithai,Karthick Kumar,"Vinoth Kumaran, Risha",Thomas Cine Creations,[30]
J U N,25.0,Indrasena,Bharath,"Sriman, Srinivasan, Anandaraj",Baba Cine Combines,[30]
J U L,2.0,Ambasamudram Ambani,Ramnath,"Karunas, Navaneet Kaur",Ken Media,[31]
J U L,2.0,Pournami Naagam,Yaar Kannan,Mumaith Khan,Bharath Cine Media,[31]
J U L,2.0,Veluthu Kattu,Senapathi Magan,"Kathir, Arundhathi, Archana Sharma, Pavina",Star Makers,[31]
J U L,9.0,Anandhapurathu Veedu,Naga,"Nandha, Chaya Singh",S Pictures,[32]
J U L,9.0,Madrasapattinam,A. L. Vijay,"Arya, Amy Jackson",AGS Entertainment,[32]
J U L,16.0,Antharangam,J. V. Rukmangathan,"Prasanna, Kamalika",Leo International,[33]
J U L,16.0,Devaleelai,Prabhakaran,"Dhanakumar, Roopa, Kavitha, Swetha, Pushpa Naik",3D Studio Com Entertainment Company,[34]
J U L,16.0,Pollachi Mappillai,R. Latchumanan,"Sathyaraj, Goundamani, Susan",Priyanka Art Productions,[34]
J U L,16.0,Virunthali,Udayasankaran Whaterman,"Ishvar, Vidya Pradeep",Gopika International,[34]
J U L,23.0,Singamugam,N. P. Ismail,"Haneefa, Dheepan, Dimple Rose",Friends Pictures,[35]
J U L,23.0,Thillalangadi,Mohan Raja,"Jayam Ravi, Tamannaah Bhatia, Shaam",Jayam Company,[36]
J U L,23.0,Vizhiyil Vizhunthaval,Ajaz,"Ajaz, Shilpa, Anaka",G-Ants Productions,[37]
J U L,30.0,Aaravadhu Vanam,R. Bhuvanesh,"Bhushan, Vidhya Mohan, Bose Venkat",MPG Films International,[38]
J U L,30.0,Ilakkana Pizhai,Govindaraj,"Aarumugam, Sathya, Swathisri",Yuva Entertainments,[38]
J U L,30.0,Thambi Arjuna,Vijay R. Anand,"Ramana, Feroz Khan, Ashima Bhalla",Angel Film International,[38]
A U G,6.0,Baana Kaathadi,Badri Venkatesh,"Atharvaa, Samantha, Prasanna",Sathya Jyothi Films,[39]
A U G,6.0,Pesuvatha Kiliya,S. Gowrishankar,"Shakthi, Vijith, Dharshini",GR Movies,[39]
A U G,13.0,Kaadhal Solla Vandhen,Boopathy Pandian,"Balaji Balakrishnan, Meghana Raj",S3 Films,[40]
A U G,13.0,Mandabam,R. Senthamil Arasu,"S. T. Tamilarasan, Siniya",Thilaka Arts,[40]
A U G,13.0,Vamsam,Pandiraj,"Arulnidhi, Sunaina",Moghana Movies,[40]
A U G,20.0,Inidhu Inidhu,K. V. Guhan,"Narayan, Arun Iswaran, Sharan Sharma, Reshmi Menon",Duet Movies,[41]
A U G,20.0,Kaipesi Yen,Vishwaksenan,"Aadarsh, Jillu",Innovations,[41]
A U G,20.0,Naan Mahaan Alla,Suseenthiran,"Karthi, Kajal Aggarwal",Studio Green,[41]
A U G,27.0,Moscowin Kavery,Ravi Varman,"Rahul Ravindran, Samantha, Harshavardhan",R Films,[42]
A U G,27.0,Neeyum Naanum,S. V. Solairaja,"Sanjeev, Chetna Pande",Team Visions,[42]
A U G,27.0,Puthumugam,Nagaraj,"Gowtham, Vibha Rai, Aswathi",Nethraa Films,[42]
A U G,27.0,Raamar,Aathiraja,"Vinay Dutta, Anumol",SR Pictures,[42]
A U G,27.0,Unakkaga En Kadhal,Jaykumar,"Vishnupriyan, Shraddha, Shravan",Jaykumar Films,[42]
A U G,27.0,Vilai,G. Kamaraj,"Saravanan, Bharani, Udhayathara, Ritu Soni",SB Film Productions,[42]
S E P,3.0,Bale Pandiya,Siddharth Chandrasekhar,"Vishnu Vishal, Piaa Bajpai, Gibran Osman",AGS Entertainment,[43]
S E P,3.0,Irandu Mugam,Arvindraj,"Karan, Sathyaraj, Suhani Kalita",Udayar Studios,[43]
S E P,3.0,Kalloori Kalangal,Remoo Siva,"Sukumar, Priyanka Chandra",Starting Point Cinema,[43]
S E P,3.0,Puzhal,Azhagu Rajasundaram,"Hemachandran, Mano, Murali, Aswatha, Archana Sharma, Sonam Singh",Classic Movies,[43]
S E P,3.0,Ragasiyam,Harish,,Super Hit Movies,[43]
S E P,3.0,Sindhu Samaveli,Samy,"Harish Kalyan, Amala Paul",Global Infotainment,[43]
S E P,10.0,Boss Engira Bhaskaran,M. Rajesh,"Arya, Nayantara, Santhanam",Vasan Visual Ventures,[44]
S E P,10.0,Drohi,Sudha Kongara Prasad,"Srikanth, Vishnu Vishal, Poonam Bajwa, Poorna, Pooja",Indira Innovations,[44]
S E P,10.0,Tiruppur,M. C. Duraisamy,"Prabha, Udhai, Unni Maya",Friends Production,[44]
S E P,17.0,365 Kadhal Kadithangal,N. Pandian,"Yuva Karthik, Ajay, Karthika Adaikalam",Vision 21 Creative Team Works,[45]
S E P,17.0,En Kanmani Priya,Ravi Vetrivel,"Vadivukkarasi, Ankitha Rao, Ramesh, Praveen",Akshaya Cine Films and Raghul Varma J Movies,[45]
S E P,17.0,Vandae Maatharam,D. Aravind,"Mammootty, Arjun, Jai Akash, Sneha",Pankaj Productions,
O C T,1.0,Enthiran,S. Shankar,"Rajinikanth, Aishwarya Rai",Sun Pictures,[46]
O C T,15.0,Gowravargal,Sanjay Ram,"Sathyaraj, Vignesh, Monica",Cine Screens,[47]
O C T,15.0,Naane Ennul Illai,Jayachitra,"Amresh Ganesh, Arya Menon",Senthur Murugan Combines,[47]
O C T,15.0,Ochayee,O. Aasaithambi,"Dhaya, Thamarai",Aachi Kizhavi Thirai Koodam,[47]
O C T,15.0,Thottupaar,K. V. Nandhu,"Vidharth, Lakshana, Ramana",Tholl Paavai Theatres,[47]
O C T,15.0,Vaadaa,A. Venkatesh,"Sundar C., Sheryl Brindo, Vivek",Screenplay Entertainment,[47]
O C T,22.0,Aarvam,Aadithyan,"Satya, R. Sanjay, Meenu Karthika",Movie Dreams,[48]
O C T,22.0,Ithu Kadhal Uthirum Kaalam,J. Tamizh,"Jayanraj, Shivashri, Geetha",Shri Shri,[49]
O C T,22.0,Mattuthavani,Pavithran,"Ramkiran, Menaka, Meetha",Sri Kamarachi Studio,[48]
O C T,22.0,Thangapaambu,Balamurugan,"Karthikeyan, Srirekha",Arulmigu Kodiyidai Nayagi Amman Creations,[48]
O C T,22.0,Unnaiye Kadhalipen,A. R. Sivajidass,"Rathan Mouli, Anjali Nair, R. R. Velu, Sushma",Saravanaa Film Maker,[48]
O C T,29.0,Neethana Avan,Punch Bharath,"Sadhan, Sriman, Srinivasan, Aishwarya Rajesh, Jeyashree",Vetrivel Creations,
N O V,5.0,Chithira Poove,R. Kalaimurugan,"Sandeep, Thamarai",Sri Periyandavar Films,[50]
N O V,5.0,Mynaa,Prabu Solomon,"Vidharth, Amala Paul",Shalom Studios,[50]
N O V,5.0,Uthama Puthiran,Mithran Jawahar,"Dhanush, Genelia D'Souza",Balaji Studios,[50]
N O V,5.0,Va,Pushkar-Gayathri,"Shiva, Lekha Washington, S. P. B. Charan",YNOT Studios,[50]
N O V,5.0,Vallakottai,A. Venkatesh,"Arjun, Haripriya",ESK Films International,[50]
N O V,19.0,Magizhchi,V. Gowthaman,"V. Gowthaman, Anjali, Prakash Raj",Athirvu Thiraipattarai,[51]
N O V,19.0,Mandhira Punnagai,Karu Pazhaniappan,"Karu Pazhaniappan, Meenakshi, Santhanam",Metro Films,[51]
N O V,19.0,Nagaram Marupakkam,Sundar C.,"Sundar C., Anuya Bhagvath, Vadivelu",Avni Cinemax,[51]
N O V,26.0,Kanimozhi,Sripathi,"Jai, Shazahn Padamsee, Vijay Vasanth",Amma Creations,[52]
N O V,26.0,Nandalala,Mysskin,"Mysskin, Snigdha Akolkar, Ashwath Ram",Ayngaran International,[52]
D E C,3.0,Chikku Bukku,K. Manikandan,"Arya, Shriya Saran, Preetika Rao",Metro Films,[53]
D E C,3.0,Tha,R. K. Surya Prabhakar,"Harish Uthaman, Nisha",Shreya Films,[53]
D E C,10.0,Agam Puram,Thirumalai,"Shaam, Meenakshi",T Creations,[54]
D E C,10.0,Ayyanar,Rajamithran,"Aadhi, Meera Nandan",Sri Rajlakshmi Films,[55]
D E C,10.0,Sanikizhamai Saayangalam 5 Mani,Ravibharathi,"Sarath, Malini",S. P. S. Mediaa Works,[55]
D E C,10.0,Siddu +2,K. Bhagyaraj,"Shanthnoo Bhagyaraj, Chandini",KBR Medias,[55]
D E C,10.0,Virudhagiri,Vijayakanth,"Vijayakanth, Meenakshi Dixit",Captain Cine Creations,[55]
D E C,17.0,Aattanayagann,Krishnaram,"Sakthi Vasu, Remya Nambeesan",Lakshmi Movie Makers,[56]
D E C,17.0,Easan,M. Sasikumar,"Samuthirakani, Vaibhav, Abhinaya, Aparna Bajpai",Company Productions,[56]
D E C,17.0,Nil Gavani Sellathey,Anand K. Chakravarthy,"Anand K. Chakravarthy, Jagan, Dhansika, Lakshmi Nair",Imagine Creations,[56]
D E C,23.0,Manmadan Ambu,K. S. Ravikumar,"Kamal Haasan, R. Madhavan, Trisha",Red Giant Movies,[57]
D E C,24.0,Aridhu Aridhu,K. R. Mathivannan,"Harish Kalyan, Uttara Raj, Princess Jasmine",JK Creations,[57]
D E C,24.0,Athisaya Manal Matha,R. Shambathkumar,"Vinu Chakravarthy, Ponnambalam",Worldwide Films,[57]
D E C,24.0,Chutti Chathan,Jijo,"Baby Sonia, Prakash Raj, Santhanam",Sri Thenandal Films,[57]
D E C,24.0,Nellu,M. Sivashankar,"Sathya, Bhaghyanjali",Karthik Jaya Movies Ltd.,[57]
D E C,24.0,Thenmerku Paruvakaatru,Seenu Ramasamy,"Vijay Sethupathi, Vasundhara, Saranya",Global Infotainment,[57]
D E C,31.0,Kotti,Sivan Gurukalyan,"Sivan, Bhagyanjali, Saikumar",Aanjhana Cinemas,[58]
D E C,31.0,Mudhal Kadhal Mazhai,Mathuvannan,"Mahendran, Swathika",Maruthi Global Arts,[58]
D E C,31.0,Nalamdhana,Mathuvannan,"Srikumar, Sanyathara, Sri Vishnu, Jothisha",M. G. Production,[58]
D E C,31.0,Villalan,Vetri-Suriyan,"Vetrivel, Ashmitha",Vel Pictures,[58]
D E C,,,,,,
