Opening,Opening.1,Title,Director,Cast,Studio,Ref
J A N,1.0,Pugaippadam,Rajesh Lingam,"Amjad, Priya Anand, Harish",Boys Studios,[7]
J A N,1.0,Thunichal,Majith,"Arun Vijay, Swathika, Shiva Munjal, Ramana",Sri Ambrishini Arts,[7]
J A N,8.0,Kalasaaram,Kutty Radha,"Satish, Yathra",Sozha Subramani,[8]
J A N,14.0,Aayirathil Oruvan,Selvaraghavan,"Karthi Sivakumar, Reemma Sen, Andrea Jeremiah, Parthiban",Dream Valley Films,[9]
J A N,14.0,Kutty,M. Jawahar,"Dhanush, Shriya Saran, Sameer Dattani",Gemini Film Circuit,[9]
J A N,14.0,Naanayam,Shakti S. Rajan,"Prasanna, Sibiraj, Ramya Raj, S. P. Balasubrahmanyam",Capital Film Works,[9]
J A N,14.0,Porkkalam,Bandi Saroj Kumar,"Kishore, Sathyan, Smitha, Sampath Raj",Bharani Minerals,[9]
J A N,29.0,Goa,Venkat Prabhu,"Jai, Premji Amaren, Vaibhav Reddy, Sneha, Melanie Marie, Piaa Bajpai",Ocher Picture Productions,[10]
J A N,29.0,Jaggubhai,K. S. Ravikumar,"Sarath Kumar, Shriya Saran, Goundamani",Radaan Mediaworks,[10]
J A N,29.0,Kathai,Abhishek Shankar,"Shaan Kumar, Nivedhitha, Abhinay",Akash Akshai Raj Cine International,[10]
J A N,29.0,Thairiyam,P. Kumaran,"P. Kumaran, Karthika, Deepu",R. P. Creations,[10]
J A N,29.0,Thamizh Padam,C. S. Amudhan,"Shiva, Disha Pandey",Cloud Nine Movies,[10]
F E B,5.0,Aasal,Saran,"Ajith Kumar, Sameera Reddy, Bhavana",Sivaji Productions,[11]
F E B,12.0,Theeradha Vilaiyattu Pillai,Thiru,"Vishal, Neetu Chandra, Tanushree Dutta, Sarah-Jane Dias",G. K. Films Corporation,[12]
F E B,12.0,Rasikkum Seemane,R. K. Vidyadaran,"Srikanth, Navya Nair, Aravind Akash",Trans India,[12]
F E B,19.0,Azhukkan,Omesh Kesar,"Omesh Kesar, Neela, Sangeetha, Venu Aravind, Jayashree",Solar Movies,
