Opening,Opening.1,Title,Director,Cast,Studio,Ref
J A N,14,Bheemaa,N. Linguswamy,"Vikram, Trisha Krishnan",,
J A N,14,Kaalai,Tarun Gopi,"Silambarasan Rajendar, Vedhika Kumar",,
J A N,14,Pazhani,Perarasu,"Bharath, Kajal Aggarwal, Khushbu",,
J A N,14,Pirivom Santhippom,Karu Pazhaniappan,"Cheran, Sneha",,
J A N,14,Vaazhthugal,Seeman,"R. Madhavan, Bhavana",,
J A N,15,Pidichirukku,Kanagu,"Ashok, Vishakha Singh",,
J A N,15,Pattaya Kelappu,Ponnambalam,"Sriman, Payal, Ponnambalam",,
F E B,1,Ashoka,Prem Menon,"Prem Menon, Anushree, Pooja Bharathi",,
F E B,1,Indiralohathil Na Azhagappan,Thambi Ramaiah,"Vadivelu, Yashimi Sharma, Suja Varunee",,
F E B,1,Thangam,G. Kicha,"Sathyaraj, Meghna Nair, Goundamani",,
F E B,1,Thodakkam,Muthukumar,"Rishi, Abhinay, Raghu Vannan, Monica, Meghna Nair",,
F E B,8,Sadhu Miranda,Siddique,"Prasanna, Abbas, Kavya Madhavan",,
F E B,14,Anjathe,Mysskin,"Narain, Ajmal Ameer, Prasanna, Vijayalakshmi",,
F E B,14,Kadhal Kaditham,Mukesh,"Balaji, Amisha",,
F E B,14,Nenjathai Killadhe,Agathiyan,"Vikranth, Bharathi, Yugendran",,
F E B,14,Pachai Nirame,Karkki,"Yugendran, Saran Sathya, Rajasekar, Nanditha Jennifer, Preethi Varma",,
F E B,22,Akku,Mamani,"Ajay, Sriji, Rakshai, Anu Hasan, Riyaz Khan",,
F E B,22,Thoondil,K. S. Adhiyaman,"Shaam, Sandhya, Divya Spandana",,
F E B,22,Valluvan Vasuki,Marumalarchi Bharathi,"Sathya, Swetha, Ranjith",,
F E B,29,Sila Nerangalil,Jayaraj,"Vincent Asokan, Navya Nair, Vineeth",,
F E B,29,Thotta,Selva,"Jeevan, Priyamani",,
M A R,7,Ezhuthiyatharadi,Sri Sathyaragaventher,"Ramana, Mansi Pritam, Swathi, Akhila",,
M A R,7,Ponmagal Vandhal,Ramamurthy,Pandiarajan,,
M A R,7,Velli Thirai,Viji,"Prakash Raj, Prithviraj Sukumaran, Gopika",,
M A R,14,Theekuchi,Yuvarajan,"Jai Varma, Menagai",,
