Opening,Opening.1,Title,Director,Actors,Genre,Notes,Ref,Cast
J U L Y,29,Markandeyan,FEFSI Vijayan,,Action,,[37],"Sabarash, Savika Chaiyadej (Pinky), Nivedhitha, Srihari"
J U L Y,29,Veppam,Anjana Ali Khan,,Drama,Produced by Photon Kathaas,[37],"Karthik Kumar, Nani, Nithya Menen, Bindu Madhavi"
A U G,5,Doo,Sriram Padmanabhan,,Romance,,[38],"Sanjay, Nakshatra, Sangeetha Bhatt"
A U G,5,Potta Potti,Yuvaraj,,Sports comedy,,[38],"Sadagoppan Ramesh, Harini"
A U G,5,Ramanathapuram,J. J. Hasen,,Romance,,[38],"Rakesh, Archana Sharma"
A U G,12,Konjam Veyil Konjam Mazhai,Ekadasi,,Drama,Produced by FCS Creations,[39],"Tej, Nakshatra, Hansifa"
A U G,12,Rowthiram,Gokul,,Action,Produced by Super Good Films,[39],"Jiiva, Shriya Saran"
A U G,12,Sagakkal,L. Muthukumara Swamy,,Drama,Produced by VVV Creations,[39],"Sanjeev, Advaitha"
A U G,12,Sankarankovil,Palanivel Raja,,Drama,Produced by Sivadarshini Cine Arts,[39],"Kanal Kannan, Rupika Ramnath, Nassar, Prabhu"
A U G,12,Uyarthiru 420,Premnath,,Action,Produced by Rich India Talkies,[39],"Snehan, Meghana Raj, Akshara Gowda, Akshaya, Vaseegaran"
A U G,19,En Ullam Unnai Theduthe,N. Selvaraj,,Romance,,[40],"N. Selvaraj, Manjula Vijayakumar, Anandraj, Dhaamu"
A U G,19,Mittai,M. S. Anbu,,Romance,,,"Santhosh, Prabha, Mayya Unni"
A U G,19,Mudhal Idam,R. Kumaran,,Romantic comedy,Produced by AVM Productions,[40],"Vidharth, Kavitha Nair, Kishore"
A U G,19,Vengayam,Sankagiri Rajkumar,,Drama,,[40],"Satyaraj, Alexander, Paveena"
A U G,26,Puli Vesham,P. Vasu,,Drama,Produced by RK Worlds,[41],"R. K., Karthik, Sadha, Divya Padmini"
A U G,26,Yuvan Yuvathi,G. N. R. Kumaravelan,,Romance,Produced by Ram Pictures,[41],"Bharath, Rima Kallingal"
A U G,31,Mankatha,Venkat Prabhu,,"Action, Thriller",Produced by Cloud Nine Movies,[42],"Ajith Kumar, Arjun, Trisha, Lakshmi Rai, Andrea, Vaibhav, Anjali"
S E P,9,Ayudha Porattam,Jai Akash,,Action,,,"Jai Akash, Preeti Minal, Anita Reddy"
S E P,9,Kasethan Kadavulada,Thirumalai,,Comedy,Jamal Movie Creations,[43],"Saran, Pandiarajan, Karunas, Kamna Jethmalani, Sathyan, Divya Padmini"
S E P,9,Mathikettan Salai,G. Patturajan,,Drama,,,"Adarsh, Divya Nagesh"
S E P,16,Engaeyum Eppothum,M. Saravanan,,Romantic drama,Produced by Murugadoss Productions,[44],"Jai, Anjali, Sharvanand, Ananya"
S E P,16,Vandhaan Vendraan,R. Kannan,,Action thriller,Produced by Vasan Visual Ventures,[44],"Jiiva, Nandha, Taapsee Pannu"
S E P,23,Aayiram Vilakku,S. P. Hosimin,,Drama,Produced by HMI Pictures,[45],"Sathyaraj, Shanthnoo Bhagyaraj, Sana Khan"
S E P,23,Aduthathu,Thakkali Srinivasan,,Thriller,,[46],"Sriman, Meenal, Ilavarasu, Nassar"
S E P,23,Thigattadha Kadhal,Manoj,,Erotic,,[45],
S E P,30,Muran,Rajjan Madhav,,Thriller,Produced by UTV Motion Pictures,[47],"Prasanna, Cheran, Haripriya, Nikita Thukral, Suma Bhattacharya"
S E P,30,Vaagai Sooda Vaa,A. Sargunam,,"Period piece, Romantic drama",Produced by Village Theatres,[47],"Vimal, Iniya, K. Bhagyaraj"
S E P,30,Vedi,Prabhu Deva,,Action-masala,Produced by GK Productions,[47],"Vishal, Sameera Reddy, Poonam Kaur"
O C T,6,Vellore Maavattam,R. N. R. Manohar,,Action,Produced by AGS Entertainment,[48],"Nandha, Poorna"
O C T,8,Sadhurangam,Karu Pazhaniappan,,Political drama,,[48],"Srikanth, Sonia Agarwal"
O C T,7,Raa Raa,Sandilya,,Romantic comedy,,[48],"Udhaya, Shweta Basu Prasad"
O C T,7,Varnam,S. M. Raju,,Drama,,[48],"Giri, Ashwatha, Monica, Sampath Raj"
O C T,7,Varudangal 20,K. Kennedy,,Erotic,,[48],Meenkhotti
O C T,13,Keezhatheru Kicha,N. S. Madhavan,,Comedy,,[49],"Ramesh Ram, Dharsha, Natassha, Ganja Karuppu"
O C T,13,Uyirin Yedai 21 Ayiri,E. L. Indrajith,,Erotic,,[49],"E.L.Indrajith, Thilagan, Sangamithra"
O C T,14,Kaadhal Alla Adhaiyum Thaandi,V. C. Prem,,Romantic drama,,[50],"Pravin Ragav, Asini"
O C T,25,7aum Arivu,A. R. Murugadoss,,Science fiction,Produced by Red Giant Movies,[51],"Suriya, Shruti Haasan, Johnny Tri Nguyen, Avinash"
O C T,26 (Deepavali),Velayudham,M. Raja,,Action-masala,Produced by Aascar Films,[51],"Vijay, Genelia D'Souza, Hansika Motwani, Saranya Mohan"
N O V,11,Konjam Sirippu Konjam Kobam,Sampoornam,,Romance,Produced by Sri Ashtalakshmi Films,[52],"Mahesh, Anusha"
N O V,11,Naan Sivanagiren,V. K. Gnanashekar,,,Produced by MN Creations,[52],"Udhay Karthik, Varsha, Aditya, Prem Kumar"
N O V,11,Thambi Vettothi Sundaram,Vadivudaiyan,,Drama,Produced by JS 24 Frames,[52],"Karan, Anjali, Saravanan"
N O V,18,Vithagan,R. Parthiban,,Action,Produced by Seventh Channel Entertainment,[53],"Parthiban, Poorna, Milind Soman"
N O V,18,Marudhavelu,RKR Adhimolam,,,Produced by S Shanmugapandian,[53],"Kailash, Akansha, Nakshatra"
N O V,25,Mayakkam Enna,Selvaraghavan,,Romantic drama,Produced by Aum Productions,[54],"Dhanush, Richa Gangopadhyay"
N O V,25,Othigai,A. M. Bhaskar,,Romance,,[54],"Jai Akash, Archana Sharma"
N O V,25,Paalai,Senthamizhan,,Drama,,[54],"Shammu, Sunil"
D E C,1,Poraali,Samuthirakani,,Action-Drama film,Produced by Company Productions,[55],"M. Sasikumar, Allari Naresh, Swati Reddy, Vasundhara, Niveda"
D E C,2,Gurusamy,K. R. Manimuthu,,Devotional,Produced by Channel R Five Production,,"Manikandan, Udhayathara, Prem"
D E C,8,Osthe,Dharani,,Action-masala film,Produced by Balaji Real Media,[56],"Silambarasan, Richa Gangopadhyay, Githan Ramesh, Sonu Sood"
D E C,8,Venmani,Kathaka Thirumavalavan,,,Karthik Jai Movies,[57],Karthik Jai
D E C,8,Neeye En Kadhali,Chinni Jayanth,,,,,Chinni Jayanth
