Opening,Opening.1,Title,Director,Cast,Production,Ref(s),Studio
J U N,2,Kathar Basha Endra Muthuramalingam,M. Muthaiah,"Arya, Siddhi Idnani, Prabhu",Drumsticks Productions,[88],
J U N,2,Thotta Siningiye,N. Elongovan,"Thanga Pandiyan, Nivetha, Iniyaraja",Sri Lakshmi Narasimha Productions,,
J U N,2,Thuritham,V. Srinivasan,"Jegan, Eden Kuriakose, Bala Saravanan",Dream Focus Productions,[89],
J U N,2,Unnaal Ennaal,A. R. Jayakrishnaa,"Sonia Agarwal, Ravi Mariya, Rajesh",Shri Shri Ganesha Creations,[90],
J U N,2,Veeran,ARK Saravan,"Hiphop Tamizha Adhi, Vinay Rai, Athira Raj",Sathya Jyothi Films,[91],
J U N,9,Bell,R. Vengat Bhuvan,"Guru Somasundaram, Sridhar, Nitish Veera",Brogan Movies,[92],
J U N,9,Maalai Nera Mallipoo,Sanjay Narayanan,"Vinithra Menon, Ashwin, Dhinesh Pandiyar",Every Frame Matters Productions,[93],
J U N,9,Por Thozhil,Vignesh Raja,"Sarathkumar, Ashok Selvan, Nikhila Vimal",Applause Entertainment,[94],
J U N,9,Takkar,Karthik G. Krish,"Siddharth, Divyansha Kaushik, Yogi Babu",Passion Studios,[95],
J U N,9,Valu,Rajaparthiban,"Vigunda Selvan, Sivasandhya, Isai Latha",SJS Pictures,,
J U N,9,Vimanam,Siva Prasad Yanala,"Samuthirakani, Meera Jasmine, Anasuya Bharadwaj",Kiran Korrapati Creative Works,[96],
J U N,16,Bommai,Radha Mohan,"S. J. Surya, Priya Bhavani Shankar, Chandini Tamilarasan",Angel Studios,[97],
J U N,16,Erumbu,Suresh G,"Charle, M. S. Bhaskar, George Maryan",Mandru GVS Productions,[98],
J U N,23,Asvins,Tarun Teja,"Vasanth Ravi, Vimala Raman, Muralidaran",Sri Venkateswara Cine Chitra,[99],
J U N,23,Azhagiya Kanne,R. Vijayakumar,"Leo Sivakumar, Sanchita Shetty, Singampuli",Esthell Entertainers,[100],
J U N,23,Naayaadi,Aadharsh Madhikaandham,"Aadharsh Madhikaandham, Kadhambari, Fabby",Maya Creations,[101],
