Opening,Opening.1,Title,Director,Cast,Production,Ref(s),Studio
J A N,6,Dear Death,Prem Kumar,"Santhosh Prathap, Jay, Sridhar Venkatesan",SNR Films,[13],
J A N,6,Vindhya Victim Verdict V3,Amudhavanan,"Varalaxmi Sarathkumar, Paavana Gowda, Esther Anil",Team A Ventures,[14],
J A N,11,Thunivu,H. Vinoth,"Ajith Kumar, Manju Warrier, Samuthirakani",Bayview Projects LLP,[15],
J A N,11,Varisu,Vamshi Paidipally,"Vijay, Rashmika Mandanna, Sarathkumar",Sri Venkateswara Creations,[16],
J A N,20,Vallavanukkum Vallavan,Vijay Tesingu,"Simha, Sshivada, Pooja Devariya",Sri Thenandal Films,[17],
J A N,26,Beginning,Jagan Vijaya,"Vinoth Kishan, Gouri Kishan, Rohini",Lefty Manual Creations,[18],
J A N,27,Meippada Sei,Velan,"Aadhav Balaji, Madhunika, Jayapalan",SR Harshith Pictures,[19],
J A N,28,Kalathil Vendraal,Dharmar Periyasamy,"Dharmar Periyasamy, Idhayarooban, Uthiriyan",Thaaimann Thiraiyagam,,
F E B,3,Bommai Nayagi,Shan,"Yogi Babu, Hari Krishnan, Subatra Robert",Neelam Productions,[20],
F E B,3,Michael,Ranjit Jeyakodi,"Sundeep Kishan, Vijay Sethupathi, Divyansha Kaushik",Karan C Productions,[21],
F E B,3,Naan Kadavul Illai,S. A. Chandrasekhar,"Samuthirakani, Sakshi Agarwal, Saravanan",Star Makers,[22],
F E B,3,Naan Yaar Theriyuma,V. S. Balamurugan,"Raaj Varma, Sreenithi, Miyasree Soumya",Sri Masani Amman Pictures,,
F E B,3,Run Baby Run,Jiyen Krishnakumar,"RJ Balaji, Aishwarya Rajesh, Isha Talwar",Prince Pictures,[23],
F E B,3,Thalaikoothal,Jayaprakash Radhakrishnan,"Samuthirakani, Kathir, Vasundhara",Y NOT Studios,[24],
F E B,3,The Great Indian Kitchen,R. Kannan,"Aishwarya Rajesh, Rahul Ravindran, Nandakumar",RDC Media,[25],
F E B,10,Dada,Ganesh K. Babu,"Kavin, Aparna Das, Bhagyaraj",Olympia Movies,[26],
F E B,10,Kodai,Raajaselvam,"Karthick Singa, Anaya Lakshmi, Robo Shankar",SS Pictures,[27],
F E B,10,Koottam,V. Barathi,"Nishanth, Manoj, Karthik, Dinesh",I Movies,,
F E B,10,Ninaive Nee,Murugan,"Ramaranjan, Sushma, Kovai Senthil",Madurai Veeran Pictures,,
F E B,10,Varnashramam,Sukumar Alagarsamy,"Ramakrishnan, Cynthia Lourde, Sriram Karthik",Cynthia Production House,[28],
F E B,10,Vasantha Mullai,Ramanan Purushothama,"Simha, Kashmira Pardeshi, Arya",SRT Entertainments,[29],
F E B,10,Vidhi Enn 3,Broadway Sundar,"Jebasingh, Murugan, Senguttuvan",Broadway Picture Studio,,
F E B,17,Bakasuran,Mohan G. Kshatriyan,"Selvaraghavan, Natty, Radharavi",G M Film Corporation,[30],
F E B,17,Moondram Pournami,Raveendhar,"Janaki Ram, Preethi Varma, Livingston",Maha Movie Makers,,
F E B,17,Vaathi,Venky Atluri,"Dhanush, Samyuktha, Sai Kumar",Sithara Entertainments,[31],
F E B,24,Kuttram Purinthal,Disney,"Aadhik Babu, Archana, Abhinaya",Amaravathy Film Studios,[32],
F E B,24,Om Vellimalai,Om Vijay,"Super R. Subramanyan, Veera Subash, Anju Krishna",Superb Creations,[33],
F E B,24,Single Shankarum Smartphone Simranum,Vignesh Sha PN,"Shiva, Megha Akash, Anju Kurian",Lark Studios,[34],
F E B,24,Thugs,Brinda,"Hridhu Haroon, Simha, R. K. Suresh",HR Pictures,[35],
M A R,3,Ariyavan,Mithran R. Jawahar,"Ishaaon, Pranali Ghogare, Daniel Balaji",MGP Mass Media,[36],
M A R,3,Ayothi,R. Manthira Moorthy,"Sasikumar, Yashpal Sharma, Preethi Asrani",Trident Arts,[37],
M A R,3,Bagheera,Adhik Ravichandran,"Prabhu Deva, Amyra Dastur, Remya Nambeesan",Bharathan Pictures,[38],
M A R,3,Kidugu,Veera Murugan,"Kalloori Vinoth, Birla Bose, Peter Saravanan",Ramalakshmi Productions,,
M A R,3,Pallu Padama Paathuka,Vijay Varadharaj,"Attakathi Dinesh, Sanchita Shetty, Sha Ra",Magic Rays,[39],
M A R,3,Vizhithelu,A. Tamil Selvan,"Ashok Kumar, Gayatri Rema, Saravana Sakthi",Aadhavan Cine Creations,[40],
M A R,8,Kannitheevu,Sundar Balu,"Varalaxmi Sarathkumar, Aishwarya Dutta, Ashna Zaveri",Krithika Production,,
M A R,10,Agilan,N. Kalyana Krishnan,"Jayam Ravi, Priya Bhavani Shankar, Tanya Ravichandran",Screen Scene Media Entertainment,[41],
M A R,10,Beauty,Ko. Ananda Siva,"Rishi, Kareena Shah, Singamuthu",Om Jayam Theatres,[42],
M A R,10,Irumban,Keera,"Jr MGR, Aishwarya Dutta, Yogi Babu",Lemuria Movies,[43],
M A R,10,Kondraal Paavam,Dayal Padmanabhan,"Santhosh Prathap, Varalaxmi Sarathkumar, Easwari Rao",Einfach Studios,[44],
M A R,10,Maan Vettai,M. Thirumalai,"Sharan, Sunita Gogoi, Suman Shetty",T Creations,,
M A R,10,Memories,Syam—Praveen,"Vetri, Parvathy Arun, Dayyana Hameed",Shiju Thameen's Film Factory,[45],
M A R,17,D3,Balaaji,"Prajin, Vidya Pradeep, Charle",JKM Productions,[46],
M A R,17,Ghosty,Kalyaan,"Kajal Aggarwal, Yogi Babu, K. S. Ravikumar",Seed Pictures,[47],
M A R,17,Kannai Nambathey,Mu. Maran,"Udhayanidhi Stalin, Aathmika, Srikanth",LIPI Cine Crafts,[48],
M A R,17,Katradhu Mara,M. Baskar,"Sudhir, Fouziee, R. N. R. Manohar",Baskar Cinema Company,,
M A R,17,Kudimahaan,Prakash N,"Vijay Sivan, Chandini Tamilarasan, Namo Narayana",Scenario Media Works,[49],
