Opening,Opening.1,Title,Director,Cast,Genre,Producer,Ref
A U G,5,Sandikuthirai,Anbumani,"Rajkamal, Manasa, Risha Arul, Ganja Karuppu",Romantic drama,Sun Moon Company,
A U G,5,Ennama Kadha Vudranunga,V. Francis Raj,"Aarvi, Shalu, Alisha Chopra",Comedy drama,Alex Creations,
A U G,5,Tamilselvanum Thaniyar Anjalum,Premsai,"Jai, Yami Gautam, Santhanam, Ashutosh Rana",Romantic comedy,Photon Kathaas,
A U G,5,Thirunaal,P. S. Ramnath,"Jiiva, Nayanthara, Meenakshi",Action,Kodhandapani Films,
A U G,12,Joker,Raju Murugan,"Guru Somasundaram, Ramya Pandian, Gayathri Krishnaa",Social satire,Dream Warrior Pictures,
A U G,12,Mudinja Ivana Pudi,K. S. Ravikumar,"Sudeep, Nithya Menen, Prakash Raj",Action masala,Rambabu Productions,
A U G,12,Wagah,G. N. R. Kumaravelan,"Vikram Prabhu, Ranya Rao, Karunas",Romanctic drama,Vijay Bhargavi Films,
A U G,19,Dharma Durai,Seenu Ramasamy,"Vijay Sethupathi, Tamannaah, Aishwarya Rajesh, Srushti Dange, Raadhika",Romantic drama,Studio 9 Productions,
A U G,19,Nambiyaar,Ganeshaa,"Srikanth, Sunaina, Santhanam",Comedy,Golden Friday Films,
A U G,19,Yaanai Mel Kuthirai Sawaari,Karuppiah Murugan,"Archana Singh, Rajendran, Krishnamoorthy, Swaminathan, Tharika, Mippu",Comedy,Battlers Cinema,
A U G,25,Bayam Oru Payanam,Manisharma,"Bharath Reddy, Vishakha Singh, Meenakshi Dixit",Horror,Octo Spider Productions,
A U G,26,54321,Ragavendra Prasad,"Shabeer, Aarvin, Pavithra Gowda, Rohini",Drama,MainStream Productions,
A U G,26,Andha Kuyil Needhana,Stanley Jose,"Keerthi Krishna, Sagar, Sreya Jose, Salam Kunnath",Drama,Ponnu Films,
A U G,26,Enakku Veru Engum Kilaigal Kidayathu,Ganapathy Balamurugan,"Goundamani, Soundararaja, Riythvika",Comedy,Jayaram Productions,
A U G,26,Meendum Oru Kadhal Kadhai,Mithran Jawahar,"Walter Phillips, Isha Talwar",Romance,Block Ticket Films,
A U G,26,Vendru Varuvaan,Vijendran,"Veerabharathi, Sameera, Kadhal Sukumar",Action,Reality Pictures,
S E P,2,Ilamai Oonjal,Mangai Harirajan,"Namitha, Kiran Rathod, Meghna Naidu, Keerthi Chawla",Action,Shree Preyam Creations,
S E P,2,Kidaari,Prasath Murugesan,"Sasikumar, Nikhila Vimal, Napoleon",Action,Company Productions,
S E P,2,Kuttrame Thandanai,M. Manikandan,"Vidharth, Pooja Devariya, Aishwarya Rajesh, Rahman",Crime Thriller,Don Productions & Tribal Art Productions,
S E P,2,Thagadu,M. Thanga Durai,"Ajay, Sanam Shetty, Hashika Dutt, Prabha, Priyanka Shukla",Historical drama,Thai Thanthai Movies,
S E P,8,Iru Mugan,Anand Shankar,"Vikram, Nayanthara, Nithya Menen",Action,Thameens Films,
S E P,8,Vaaimai,A. Senthil Kumar,"Shanthanu Bhagyaraj, Bhanu, Goundamani, Ramki, Thiagarajan, Manoj Bharathi, Prithvi Rajan",Drama,Min Max Movies,
S E P,9,Pudhusa Naan Poranthen,Majid Abu,"Biyon, Kalyani Nair, Kalabhavan Mani",Drama,Sahara Entertainments,
S E P,16,Nayagi,Govi,"Trisha, Ganesh Venkatraman, Sushma Raj",Horror,Giridhar Production House,
S E P,16,Karma,R. Arvind,R. Arvind,Thiller,Creative Criminal,
S E P,16,Pagiri,Esakki Karvannan,"Prabhu Ranaveeran, Shravya, Ravi Mariya",Romantic comedy,Lakshmi Creations,
S E P,16,Sadhuram 2,Sumanth Radhakrishnan,"Yog Japee, Rohit Nair, Riaz, Sanam Shetty",Thriller,Knockout Entertainment & Grey Matter Studios,
S E P,16,Uchathula Shiva,Jaypee,"Karan, Neha Ratnakaran, Aadukalam Naren",Action drama,K Entertainments,
S E P,22,Thodari,Prabhu Solomon,"Dhanush, Keerthy Suresh, Ganesh Venkatraman",Romantic thriller,Sathya Jyothi Films,
S E P,23,Aandavan Kattalai,M. Manikandan,"Vijay Sethupathi, Ritika Singh, Pooja Devariya",Comedy Drama,Gopuram Films,
S E P,23,Oruthal,Krishnadasan,"Senthil Jagadeesan, Gayathri Iyer",Drama,Sayeeleela Productions,
S E P,30,Aasi,N. P. S. Veerapandiyan,"Varshika, Jaga, Jeyashree, Aarthi, Raj Kapoor",Horror,Shanmuga Pictures,
S E P,30,Kallattam,G. Ramesh,"Nandha, Richard, Sharika, Usha Shree",Action,White Horse Productions,
S E P,30,Kanaga Durga,Chandra Kannaiyan,"Magi, Saravanan, Divya Nagesh, Janvika, Delhi Ganesh",Devotional,Jothi Vinayagar Cinemas,
S E P,30,Kollidam,Nesam Murali,"Nesam Murali, Ludhia, Vadivukkarasi",Action,Vertical Films,
S E P,30,Nunnunarvu,Mathivanan Sakthivel,"Mathivanan Sakthivel, Indira",Thriller,Sakthi Screens,
S E P,30,Thirumaal Perumai,Gopal Ram,"Gopal Ram, Tamilmani, Vaiyapuri, Delhi Ganesh",Devotional,MGS Films,
O C T,7,Devi,A. L. Vijay,"Prabhu Deva, Tamannaah, Sonu Sood",Supernatural comedy,Prabhu Deva Studios,
O C T,7,Rekka,Rathina Shiva,"Vijay Sethupathi, Lakshmi Menon, Sija Rose",Action masala,Comman Man Productions,
O C T,7,Remo,Bakkiyaraj Kannan,"Sivakarthikeyan, Keerthy Suresh, Sathish",Romantic comedy,24AM Studios,
O C T,14,Ammani,Lakshmy Ramakrishnan,"Lakshmy Ramakrishnan, Subbalakshmi, Nithin Sathya",Drama,Tag Entertainment,
O C T,21,Kagitha Kappal,S. Sivaraman,"Appukutty, Dilija, M. S. Bhaskar",Drama,Evergreen Movie International,
O C T,21,Nee Enbathu,A. R. Rahim,"Mukil, Shamja, Pandi",Romance,Try Film Productions,
O C T,21,Nenjukkulla Nee Neranjirukka,Sampathkumar–Rajendran,"Sivahari, Ameetha",Drama,S. S. Studio Production,
O C T,28,Kaashmora,Gokul,"Karthi, Nayanthara, Sri Divya",Supernatural,Dream Warrior Pictures,
O C T,28,Kodi,R. S. Durai Senthilkumar,"Dhanush, Trisha, Anupama Parameswaran",Political thriller,Grass Root Film Company,
O C T,28,Thiraikku Vaaradha Kadhai,Thulasidas,"Nadhiya, Iniya, Eden, Subiksha",Horror,MJD Production,
O C T,29,Kadalai,P. Sagayasuresh,"Ma Ka Pa Anand, Aishwarya Rajesh, John Vijay, Ponvannan",Comedy,Udhayam Entertainment,
N O V,4,Ini Avanea,Sampathraj,"Santhosh, Sasi, Ashleysha, Ruby, Pavani Reddy",Action Thriller,Tamil Thai Creations & A.N.A Movie Creations,
N O V,11,Achcham Yenbadhu Madamaiyada,Gautham Vasudev Menon,"Silambarasan, Manjima Mohan, Baba Sehgal",Action Thriller,Ondraga Entertainment & Escape Artists Motion Pictures,
N O V,11,Meen Kuzhambum Mann Paanaiyum,Amudheswar,"Kalidas Jayaram, Ashna Zaveri, Prabhu, Pooja Kumar",Comedy,Eshan Productions,
N O V,18,Anjukku Onnu,Arviyar,"Amar, Guru Siddharth, Jerold, Megna, Umasri",Comedy,Parents Pictures,
N O V,18,Kadavul Irukaan Kumaru,M. Rajesh,"G. V. Prakash Kumar, Nikki Galrani, Anandhi, Prakash Raj",Comedy,Amma Creations,
N O V,24,Kavalai Vendam,Deekay,"Jiiva, Kajal Aggarwal, Bobby Simha, Sunaina",Romantic comedy,RS Infotainment,
N O V,25,Ilami,Julian Prakash,"Yuvan, Anu Krishna, Akhil, Ravi Mariya",Historical,Joe Productions,
N O V,25,Kannula Kaasa Kattappa,Major Gowtham,"Aravind Akash, Chandini Tamilarasan, Ashwathy Warrier",Comedy,Sugar & Spice Entertainment,
N O V,25,Pattathaari,A. R. Sankar Pandi,"Abi Saravanan, Sayana Santhosh, Ambani Shankar",Comedy,Ges Movies,
N O V,25,Virumandikum Sivanandikum,Vincent Selva,"Sanjay, Arundhati Nair, Thambi Ramaiah, Robo Shankar",Comedy,Lakshmi Talkies,
D E C,1,Saithan,Pradeep Krishnamoorthy,"Vijay Antony, Arundhati Nair",Psychological thriller,Vijay Antony Film Corporation,
D E C,2,Azhahendra Sollukku Amudha,Nagarajan,"Rijan Suresh, Aashritha, Pattimandram Raja",Romance,Ralph Productions,
D E C,2,Maaveeran Kittu,Suseenthiran,"Vishnu Vishal, Sri Divya, Parthiban",Drama,Nallu Samy Pictures & Asian Cine Combines,
D E C,2,Pazhaya Vannarapettai,G. Mohan,"Prajin, Richard, Nishanth, Ashmitha, Karunas",Drama,Sri Krishna Talkies,
D E C,9,Atti,Vijayabhaskar,"Ma Ka Pa Anand, Ashmitha, Ramki",Comedy,Parinita Productions,
D E C,9,Chennai 600028 II,Venkat Prabhu,"Shiva, Jai, Vaibhav, Premji, Vijay Vasanth, Aravind Akash, Nithin Sathya, Ajay Raj, Mahat Raghavendra",Sports Comedy,Black Ticket Company,
D E C,9,Parandhu Sella Vaa,Dhanapal Padmanabhan,"Luthfudeen, Aishwarya Rajesh, Narelle Kheng, Karunakaran, Sathish, RJ Balaji",Romantic comedy,8 Point Entertainment,
D E C,16,Andaman,Aadhavan,"Richard, Manochitra, Kannadasan, Manobala, Vaiyapuri",Romance,Sudha Movie Creations,
D E C,16,Veera Sivaji,Ganesh Vinayak,"Vikram Prabhu, Shamili, John Vijay",Action,Madras Enterprises,
D E C,23,Balle Vellaiyathevaa,Prakash,"M. Sasikumar, Tanya, Kovai Sarala, Sangili Murugan",Comedy,Company Productions,
D E C,23,Kaththi Sandai,Suraj,"Vishal, Tamannaah, Jagapati Babu, Vadivelu",Action masala,Madras Enterprises,
D E C,23,Manal Kayiru 2,Madhan Kumar,"Ashwin Shekhar, Poorna, S. Ve. Sekhar, Visu",Comedy drama,Sri Thenandal Films,
D E C,23,Ner Mugam,Murali Krishna,"Rafee, Meera Nandan, Meenakshi, Pandiarajan",Action,Hi-Tech Pictures,
D E C,29,Dhuruvangal Pathinaaru,Karthick Naren,"Rahman, Ashwin Kumar, Prakash Raghavan, Santhosh Krishna, Yaashika Aanand",Crime thriller,Knight Nostalgia Filmotainment & Venus Infotainment,
D E C,30,Achamindri,Rajapandi,"Vijay Vasanth, Srushti Dange, Samuthirakani, Saranya Ponvannan",Action drama,Triple V Records,
D E C,30,Adhiran,J. V. Mohan,"Suresh Kumar, Sanjana, Shreeram, Fathima",Drama,B Movies,
D E C,30,Eganapuram,V. Suresh Natchatra,"V. Ravi, Jothisha Ammu, Rithu Rajasimman",Drama,VR Movies International,
D E C,30,Kandadhai Sollugiren,B. Lenin,"Poo Ram, Anand, Janaki, Karuna, Jeniffer",Drama,Buddha Pictures & JSK Film Corporation,
D E C,30,Meow,Chinnas Palanisamy,"R. Raja, Gayathri Iyer",Comedy thriller,Global Woods Movies,
D E C,30,Mo,Bhuvan Nallan,"Suresh Ravi, Aishwarya Rajesh, Pooja Devariya, Ramesh Thilak, Ramdoss",Horror comedy,Moment Entertainment & Infotainment Ltd,
D E C,30,Thalaiyatti Bommai,Bagavathi Bala,"Ramesh, Tanvi, Meera Krishnan",Horror comedy,S Films,
