Opening,Opening.1,Title,Director,Cast,Studio,Ref
J A N,3,Kalakkura Chandru,Ravi-Raja,"Karthik, Bhuvana, Pandiarajan, Urvashi",,
J A N,12,Aalwar,Chella,"Ajith Kumar, Asin",,
J A N,12,Pokkiri,Prabhu Deva,"Vijay, Asin, Prakash Raj, Vadivelu",,
J A N,14,Thaamirabharani,Hari,"Vishal, Bhanu, Nadhiya, Prabhu",,
F E B,1,Veerasamy,T. Rajender,"T. Rajender, Mumtaj, Meghna Naidu",,
F E B,9,Deepavali,Ezhil,"Jayam Ravi, Bhavana",,
F E B,9,Pori,Subramaniya Siva,"Jiiva, Pooja",,
F E B,16,Agaram,T. Nagarajan,"Nandha, Archana",,
F E B,16,Lee,Prabu Solomon,"Sibiraj, Nila, Prakash Raj",,
F E B,16,Pachaikili Muthucharam,Gautham Vasudev Menon,"Sarath Kumar, Jyothika, Andrea Jeremiah",,
F E B,23,Mozhi,Radha Mohan,"Prithviraj, Jyothika, Prakash Raj, Swarnamalya",,
F E B,23,Paruthiveeran,Ameer,"Karthi, Priyamani",,
M A R,2,Muruga,R. T. Nesan,"Ashok, Shruti Sharma, Vadivelu",,
M A R,9,Muni,Raghava Lawrence,"Raghava Lawrence, Vedhika, Rajkiran, Kovai Sarala",,
M A R,9,Thirumagan,M. Rathnakumar,"S. J. Surya, Meera Jasmine, Malavika, Ranjith",,
M A R,16,Nanbanin Kadhali,G. Kicha,"Kunal, Vikramaditya, Shivani Singh",,
M A R,17,Sabari,Suresh,"Vijayakanth, Jyothirmayi, Malavika",,
M A R,23,Kuttrapathirikai,R. K. Selvamani,"Ramki, Rahman, Roja, Ramya Krishnan",,
M A R,23,Manikanda,Selva,"Arjun, Jyothika",,
M A R,30,Adavadi,V. S. Bharath Hanna,"Sathyaraj, Radha",,
A P R,5,Koodal Nagar,Seenu Ramasamy,"Bharath, Bhavana, Sandhya",,
A P R,12,Kaanal Neer,Chinni Jayanth,"J. K. Rithesh, Manisha Chatterjee",,
A P R,14,Maya Kannadi,Cheran,"Cheran, Navya Nair",,
A P R,14,Unnale Unnale,Jeeva,"Vinay Rai, Sadha, Tanisha Mukherjee",,
A P R,18,Madurai Veeran,Vincent Selva,"Githan Ramesh, Saloni Aswani",,
A P R,20,Mudhal Kanave,C. Balamurugan,"Vikranth, Honey Rose",,
A P R,20,Naan Avanillai,Selva,"Jeevan, Sneha, Jyothirmayi, Namitha, Malavika, Keerthi Chawla",,
A P R,27,Chennai 600028,Venkat Prabhu,"Shiva, Jai, Nithin Sathya, Aravind Akash, Premji, Vijayalakshmi, Kristine Zedek",,
A P R,27,Dhandayuthapani,Saravana Sakthi,"S. Suresh Raja, Shivani Sri",,
A P R,27,Parattai Engira Azhagu Sundaram,Suresh Krishna,"Dhanush, Meera Jasmine",,
M A Y,4,Achacho,V. S. Balray,"Sri Hari, Varshini",,
M A Y,4,Kasu Irukkanum,"R. Kumaran, Priyavan","K. Bhagyaraj, Vishwa, J. Livingston",,
M A Y,4,Niram,S. K. Krishna,"Mani, Sridhar, Raju, Sindhuri",,
M A Y,4,Periyar,Gnana Rajasekaran,"Sathyaraj, Jyothirmayi, Khushbu",,
M A Y,11,Ninaithale,Viswas Sundar,"Suchindra, Nargis Bagheri, Santhoshi",,
