Opening,Opening.1,Title,Director,Cast,Studio,Ref
M A Y,11,Thiru Ranga,Ravi Bhargavan,"Santosh, Ankitha",,
M A Y,14,Karuppusamy Kuththagaithaarar,A. Govindamoorthy,"Karan, Meenakshi, Vadivelu",,
M A Y,18,Ninaithu Ninaithu Parthen,Manikandan,"Vikranth, Ashita",,
M A Y,25,Bali,Jesudas,"Sri, Rimpi",,
M A Y,25,Nee Naan Nila,M. P. S. Sivakumar,"R. V. Bharathan, London Ravi, Meghna",,
M A Y,25,Rasigar Mandram,Pugazhendhi Thangaraj,"Uma, Ganesh, Gokul Krishna",,
J U N,1,Pirappu,L. V. Ilangovan,"Prabha, Karthika Adaikalam, Priya Mohan",,
J U N,15,Sivaji,Shankar,"Rajinikanth, Shriya Saran, Vivek, Suman",,
J U N,29,Thullal,Praveen Kanth,"Praveen Kanth, Gurleen Chopra, Sonika",,
J U L,6,Ennai Paar Yogam Varum,M. Jameen Raj,"Mansoor Ali Khan, Manju",,
J U L,11,Viyabari,Sakthi Chidambaram,"S. J. Surya, Tamannaah, Namitha, Vadivelu, Prakash Raj",,
J U L,13,Maa Madurai,K. K. Krishnan,"Vaasan Karthik, Mithuna",,
J U L,20,Kireedam,A. L. Vijay,"Ajith Kumar, Trisha Krishnan, Rajkiran",,
J U L,27,Thee Nagar,Thirumalai,"Karan, Udhayathara",,
J U L,27,Veerappu,Badri,"Sundar C., Gopika, Prakash Raj",,
A U G,3,Thottal Poo Malarum,P. Vasu,"Sakthi Vasu, Gowri Munjal, Rajkiran, Vadivelu",,
A U G,10,Aarya,Balasekaran,"R. Madhavan, Bhavana, Vadivelu",,
A U G,10,En Uyirinum Melana,K. R. Jaya,"Ajith Chander, Radhika Menon",,
A U G,10,Pallikoodam,Thangar Bachan,"Narain, Sneha, Shriya Reddy, Seeman",,
A U G,17,Anbu Thozhi,L. G. Ravichandran,"Thol Thirumavalavan, Prabhu, Preethi Varma",,
A U G,24,Tholaipesi,K. Paneer Selvam,"Vikramaditya, Priyanka Nair, Divya",,
S E P,2,Ammuvagiya Naan,Padmamagan,"R. Parthiban, Bharathi",,
S E P,2,Oru Ponnu Oru Paiyan,Naren Deivanayagam,"Sandeep, Roopasree, Shubha Poonja",,
S E P,2,Urchagam,Ravichandran,"Nandha, Sherin",,
S E P,7,Cheena Thaana 001,T. P. Gajendran,"Prasanna, Sheela, Vadivelu",,
S E P,7,Marudhamalai,Suraj,"Arjun, Nila, Vadivelu",,
S E P,7,Thoovanam,"Harichandran, Newton","Adhitya, Nethra",,
S E P,14,18 Vayasu Puyale,M. Vijay,"Ajay Pradeep, Preethi Varma",,
S E P,14,Inimey Nangathan,Venky Babu,"M. S. Bhaskar, Pandu",,
S E P,14,Manase Mounama,R. Senthamil Arasu,"Ravikanth, S. T. Tamilarasan, Sanya",,
S E P,14,Satham Podathey,Vasanth,"Prithviraj, Padmapriya, Nithin Sathya",,
S E P,14,Thirutham,Ponraman,"Harikumar, Priyanka Nair, Mansi Pritam",,
S E P,14,Vasantham Vanthachu,K. Viveka Bharathi,"Venkat Prabhu, Nanditha Jennifer",,
S E P,21,Nam Naadu,Suresh,"Sarath Kumar, Karthika",,
S E P,21,Nenjai Thodu,Rajkannan,"Gemini, Lakshmi Rai",,
S E P,21,Piragu,N. Jeeva,"Hamsavardhan, Keerthi Chawla, Sunitha Verma",,
S E P,21,Sivi,K. R. Sendhilnathan,"Yogi, Jayashree Rao, Anuja Iyer",,
S E P,28,Malaikottai,Boopathy Pandian,"Vishal, Priyamani",,
S E P,28,Meendum Chandramathi,Kamalraj,"Gopal, Chandramathi",,
S E P,28,Mudhal Mudhalai,Benjamin,"Mahesh, Madhu Sandha",,
S E P,28,Vegam,K. R. Udhayashankar,"Prabhu, Ashwin Sekar, Archana",,
O C T,5,Kattradhu Thamizh,Ram,"Jiiva, Anjali",,
O C T,5,Pasupathi c/o Rasakkapalayam,K. Selva Bharathy,"Ranjith, Sindhu Tolani, Meghna Nair",,
O C T,5,Sringaram,Saradha Ramanathan,"Aditi Rao Hydari, Manoj K. Jayan, Hamsa Moily",,
O C T,5,Thavam,Sakthi Paramesh,"Arun Vijay, Arpitha, Vandhana Gupta",,
O C T,5,Veeramum Eeramum,Sanjay Ram,"Saravanan, Deepan Chakravarthy, Sonika, Sanjay Ram, Dhanya Mary Varghese",,
O C T,12,Naalaiya Pozhuthum Unnodu,K. Moorthy Kannan,"Prithvi Rajan, Karthika",,
O C T,12,Niyabagam Varuthe,K. S. Raj,"Venkat Prabhu, S. P. B. Charan, Suha",,
O C T,19,Ippadikku En Kadhal,B. Kishore,"Ravi Kalyan, Thanuja",,
O C T,26,Chandiramathi,V. S. Kamalraj,"Datshan, Deetsha",,
N O V,8,Agra,Chithrai Selvan,"Vikas, Anjali",,
N O V,8,Azhagiya Tamil Magan,Bharathan,"Vijay, Shriya Saran, Namitha",,
N O V,8,Kannamoochi Yenada,V. Priya,"Sathyaraj, Prithviraj, Sandhya, Raadhika",,
N O V,8,Machakaaran,Tamilvannan,"Jeevan, Kamna Jethmalani",,
N O V,8,Polladhavan,Vetrimaaran,"Dhanush, Divya Spandana, Daniel Balaji",,
N O V,8,Vel,Hari,"Suriya, Asin, Kalabhavan Mani",,
N O V,30,Kelvikuri,Jailani,"Jailani, Sona Heiden, Preethi Varma",,
N O V,30,Onbadhu Roobai Nottu,Thangar Bachan,"Sathyaraj, Archana, Nassar, Rohini",,
N O V,30,Oram Po,Pushkar-Gayathri,"Arya, Pooja, Lal, John Vijay",,
N O V,30,Rameswaram,S. Selvam,"Jiiva, Bhavana",,
D E C,7,Evano Oruvan,Nishikant Kamat,"R. Madhavan, Sangeetha",,
D E C,7,Kalloori,Balaji Shakthivel,"Akhil, Tamannaah",,
D E C,14,Billa,Vishnuvardhan,"Ajith Kumar, Nayantara, Namitha, Prabhu",,
D E C,14,Mirugam,Samy,"Aadhi, Padmapriya, Sona Heiden",,
D E C,21,Kanna,Anand,"Raja, Sheela, Prakash Raj",,
D E C,21,Puli Varudhu,G. V. Kumar,"Githan Ramesh, Mallika Kapoor",,
D E C,28,Pazhaniappa Kalloori,R. Pavan,"Pratheep, Arjumman Mughal, Madhu Shalini, Akshaya Rao",,
D E C,28,Yaaruku Yaaro,Joe Stanley,"Sam Anderson, Varnika, Jothi",,
