Opening,Opening.1,Title,Director,Cast,Studio,Ref
M A R,12.0,Theethum Nandrum,Rasu Ranjith,"Rasu Ranjith, Aparna Balamurali, Lijomol Jose",NH Hari Silverscreens,[46]
M A R,19.0,Kadampari,Arul,"Arul, Kaashima Rafi, Akila Narayanan",Aromaa Studios,[47]
M A R,19.0,Meendum Yathra,Murugan,"Murugan, Amala",Sri Saai Lakshmi Pictures,
M A R,19.0,Michaelpatty Raja,Francis,"Nikesh Ram, Perlene Bhesania, Rajendran",Spellbound Films,[48]
M A R,19.0,Namma Oorukku Ennadhan Achu,Nel Senthil Kumar,"Mahendran, Miyasree Sowmya, Appukutty",GS Arts,[49]
M A R,19.0,Thaen,Ganesh Vinayakan,"Tharun, Abarnathi, Aruldoss",AP Productions,[50]
M A R,20.0,Irai Thedal,K. S. Karthik,"Krishnajith, Sanuja Somanath, Supriya Ravi",Kanda Films,
M A R,26.0,Engada Iruthinga Ivvalavu Naala,Kevin,"Akhil, Ishaara Nair, Yogi Babu",Nila Promotes,[51]
M A R,26.0,Ennathaan Un Kathai,John,"John, Thilija, Telephone Raj",Try Creations,
M A R,26.0,Kaadan,Prabhu Solomon,"Rana Daggubati, Vishnu Vishal, Zoya Hussain",Eros International,[52]
M A R,26.0,Roommate,Vasanth Nagarajan,"Naren, Sowmya, Vishwa",Sivasai Movies,[53]
M A R,26.0,Thodakkam,Mari Karunanidhi,Mari Karunanidhi,Nithitha Thiraikalam,
M A R,,,,,,
A P R,2.0,Call Taxi,Pa. Pandian,"Santhosh Saravanan, Ashwini Chandrasekhar, Rajendran, Madhan Bob",KT Combines,[54]
A P R,2.0,Manja Satta Pacha Satta,Thambakutty,"Guru Somasundaram, Lanza del Vasto, Shivashankar",Chinnasamy Cine Creations,[55]
A P R,2.0,Sulthan,Bakkiyaraj Kannan,"Karthi, Rashmika Mandanna, Napoleon, Lal",Dream Warrior Pictures,[56]
A P R,4.0,Mandela,Madonne Ashwin,"Yogi Babu, Sheela Rajkumar, Sangili Murugan",YNOT Studios,[57]
A P R,9.0,Karnan,Mari Selvaraj,"Dhanush, Lal, Rajisha Vijayan",V Creations,[58]
A P R,11.0,Sarbath,Prabhakaran,"Kathir, Rahasya Gorak, Soori",7 Screen Studio,[59]
A P R,14.0,Mathil,Mithran Jawahar,"K. S. Ravikumar, Shanjith, Mime Gopi",S S Group,[60]
A P R,14.0,Paramapadham Vilayattu,K. Thirugnanam,"Trisha, Nandha, Richard, Vijay Varmaa",24HRS Productions,[61]
A P R,16.0,Chasing,K. Veerakumar,"Varalaxmi Sarathkumar, Bala Saravanan, Imman Annachi",Asia Sin Media,[62]
A P R,16.0,Munna,Sangai Kumaresan,"Sangai Kumaresan, Kennedy, Niyah Krishna",Sri Thillai Eesan Pictures,[63]
A P R,16.0,Vanakkam Da Mappillai,M. Rajesh,"G. V. Prakash Kumar, Amritha Aiyer, Daniel Annie Pope",Sun Entertainment,[64]
A P R,23.0,Nayae Peyae,Sakthi Vasan,"Dinesh Kumar, Aishwarya, Aadukalam Murugadoss",Cutting Votting Studios,[65]
A P R,23.0,Papillon,Aaru Raja,"Aaru Raja, Sowmya, Kalloori Vinoth",Blooming Art Studios,[66]
M A Y,28.0,Malaysia to Amnesia,Radha Mohan,"Vaibhav, Vani Bhojan, Riya Suman, M. S. Bhaskar",ZEE5,[67]
J U N,18.0,Jagame Thandhiram,Karthik Subbaraj,"Dhanush, James Cosmo, Joju George, Aishwarya Lekshmi",YNOT Studios,[68]
J U N,25.0,Methagu,T. Kittu,"Kutti Mani, Lizzie Antony, Rajasekar",Tamil Eela Thirakkalam,[69]
J U N,25.0,Maadathy,Leena Manimekalai,"Semmalar Annam, Ajmina Kassim, Arul Kumar, Patrick Raj",Karuvachy Films,[70]
J U L,11.0,Vellai Yaanai,Subramaniam Siva,"Samuthirakani, Athmiya Rajan, Yogi Babu",Sun Entertainment,[71]
J U L,16.0,Vaazhl,Arun Prabu Purushothaman,"Pradeep Anthony, TJ Bhanu, Diva Dhawan",Sivakarthikeyan Productions,[72]
J U L,22.0,Sarpatta Parambarai,Pa. Ranjith,"Arya, Dushara Vijayan, Pasupathy, Kalaiyarasan",Neelam Productions,[73]
J U L,30.0,Thittam Irandu,Vignesh Karthick,"Aishwarya Rajesh, Pavel Navageethan, Gokul Anand",Sixer Entertainment,[74]
A U G,11.0,Sennai,Jaikumar Sethuraman,"Semmalar Annam, Bava Chelladurai, Gokila",Enso Pictures,[75]
A U G,13.0,Netrikann,Milind Rau,"Nayanthara, Ajmal Ameer, Manikandan",Rowdy Pictures,[76]
A U G,22.0,Boomika,Rathindran R. Prasad,"Aishwarya Rajesh, Avantika Vandanapu, Pavel Navageethan",Stone Bench Films,[77]
A U G,27.0,Kasada Thapara,Chimbu Deven,"Sundeep Kishan, Harish Kalyan, Venkat Prabhu",Black Ticket Company,[78]
A U G,30.0,Ashvamithra,Earthling Koushalya,"Harish Uthaman, Tareetha, Maheswari Arunagiri",Accessible Horizon Films,[79]
S E P,3.0,Alpha Adimai,Jinovi,"Vinod Varma, Arun Nagaraj, Kalki",Arunaajadaa Pictures,[80]
S E P,3.0,Devadas Brothers,Janakiraman,"Dhruvva, Sanchita Shetty, Shilpa Manjunath",Etcetera Entertainment,[81]
S E P,9.0,Laabam,S. P. Jananathan,"Vijay Sethupathi, Shruti Haasan, Jagapathi Babu",Vijay Sethupathi Productions,[82]
S E P,10.0,Dikkiloona,Karthik Yogi,"Santhanam, Anagha, Shirin Kanchwala",KJR Studios,[83]
S E P,10.0,Thalaivii,A. L. Vijay,"Kangana Ranaut, Arvind Swamy, Samuthirakani",Zee Studios,[84]
S E P,10.0,Tughlaq Durbar,Delhi Prasad Deenadayal,"Vijay Sethupathi, Raashi Khanna, Parthiban",Seven Screen Studio,[85]
S E P,16.0,Iruvar Ullam,G. Ramesh,"Vinay Rai, Payal Rajput, Archanna Guptaa",MSK Film Production,
S E P,17.0,Annabelle Sethupathi,Deepak Sundarrajan,"Vijay Sethupathi, Taapsee Pannu, Raadhika Sarathkumar",Passion Studios,[86]
S E P,17.0,Friendship,John Paul Raj-Sham Surya,"Arjun, Harbhajan Singh, Losliya Mariyanesan",Seantoaa Films,[87]
S E P,17.0,Kodiyil Oruvan,Ananda Krishnan,"Vijay Antony, Aathmika, Divya Prabha",Infiniti Film Ventures,[88]
S E P,24.0,Choo Mandhirakaali,Eswar Kotravai,"Karthikeyan Velu, Sanjana Burli, Kishore Dev","Annam Medias, A. Sarkunam",[89]
S E P,24.0,Chinnanjiru Kiliye,Sabarinathan,"Senthil Nathan, Sandra Nair, Kulappulli Leela",Senbha Creations,[90]
S E P,24.0,Cinderella,Vinoo Venketesh,"Raai Laxmi, Sakshi Agarwal, Robo Shankar",SSI Productions,[91]
S E P,24.0,Naduvan,Sharran Kumar,"Bharath, Aparna Vinod, Gokul Anand",Cue Entertainment,[92]
S E P,24.0,Pei Mama,Sakthi Chidambaram,"Yogi Babu, Rajendran, Malavika Menon",Bakiya Cinemass,[93]
S E P,24.0,Pirar Thara Vaaraa,A. R. Kamaraj,"A. R. Kamaraj, Sampath Ram, Rudran",ARK Creations,
S E P,24.0,Raame Aandalum Raavane Aandalum,Arisil Moorthy,"Mithun Manickam, Ramya Pandian, Vani Bhojan",2D Entertainment,[94]
S E P,24.0,Veerapuram 220,B. Senthil Kumar,"Mahesh, Amira Varma, Meghna",Subham Cine Creations,[95]
S E P,30.0,Sivakumarin Sabadham,Hiphop Tamizha Aadhi,"Hiphop Tamizha Aadhi, Madhuri Jain",Sathya Jyothi Films,[96]
O C T,1.0,Lift,Vineeth Varaprasad,"Kavin, Amritha Aiyer",Ekaa Entertainment,[97]
O C T,1.0,Rudra Thandavam,Mohan G.,"Richard, Gautham Vasudev Menon, Dharsha Gupta",GM Film Corporation,[98]
O C T,3.0,Endraavathu Oru Naal,Vetri Duraisamy,"Vidharth, Remya Nambeeshan",The Theatre People,[99]
O C T,8.0,Agaligai,C. Prabhakaran,"Felina, Praveen, Mani, Simon",SPK Productions,
O C T,8.0,Appathava Aattaya Pottutanga,N. Stephen Rangaraj,"Chandrahasan, Sheela, Ilavarasu, Delhi Ganesh",GB Studio Films,[100]
O C T,8.0,Dham Dhum Kalyanam,A. Madasaamy,"Mohan Raj, Vijayalakshmi",Sri Santha Durgai Amman Movies,
O C T,8.0,Mughizh,Karthik Swaminathan,"Vijay Sethupathi, Regina Cassandra, Sreeja",Vijay Sethupathi Productions,[101]
O C T,9.0,Doctor,Nelson Dilipkumar,"Sivakarthikeyan, Priyanka Arul Mohan, Vinay Rai",Sivakarthikeyan Productions,[102]
O C T,13.0,Vinodhaya Sitham,Samuthirakani,"Thambi Ramaiah, Samuthirakani, Deepak Dinkar",ZEE5,[103]
O C T,14.0,Aranmanai 3,Sundar C.,"Sundar C., Arya, Raashi Khanna, Andrea Jeremiah",Avni Cinemax,[104]
O C T,14.0,Udanpirappe,Era. Saravanan,"Jyothika, M. Sasikumar, Samuthirakani",2D Entertainment,[105]
O C T,22.0,Agadu,Suresh Kumar,"John Vijay, Anjali Nair, Siddharth",Shoundaryan Pictures,[106]
O C T,22.0,Filter Gold,Vijayabaskar,"Vijayabaskar, Dora Sree",Survival Pictures,[107]
